support vector machine	Support-vector machine
chromium dichloride dioxide	Chromyl chloride
9 x 19 mm	9×19mm Parabellum
inch pedal	Inch pedal
provably secure cryptographic hash function	Security of cryptographic hash functions
tisserand's criterion	Tisserand's criterion
plastic strain ratio	Lankford coefficient
czar tank	Tsar Tank
lymphatic system assessment	Lymphatic system
stargardt disease	Stargardt disease
pocket soup	Portable soup
high-side guns pass	Basic fighter maneuvers
1900 number	Premium-rate telephone number
wall railings	Wall
graphic image developer	Visual arts
ellipsoidal geodesic	Geodesics on an ellipsoid
not suitable for work	Not safe for work
anamorphic column	Anamorphosis
delphic technique	Delphi method
law of thirds	Rule of thirds
methodological skepticism	Cartesian doubt
feminist linguistics	Feminist language reform
list of films featuring surveillance as a main theme	List of films featuring surveillance
kalingrad time	Kaliningrad Time
horse drawn carriage	Carriage
malay ringgit	Malaysian ringgit
bar notation	Overline
cutoff frequencies	Cutoff frequency
studio apartment	Studio apartment
entropy and life	Entropy and life
list of blood tests values	Reference ranges for blood tests
bulbous dome	Onion dome
disassortative mating	Disassortative mating
paddle tug	Paddle steamer
traffic wardens	Parking enforcement officer
most patents by a single person	List of prolific inventors
security testing	Security testing
telegraphic signal	Telegraphy
lali gurans	Rhododendron
prehistoric cave paintings	Cave painting
strong artificial intelligence	Artificial general intelligence
open-source community	Open-source-software movement
kasner metric	Kasner metric
isometric imbedding	Embedding
depression focused recharge	Groundwater recharge
anal jewellery	Butt plug
cloak and dagger	Cloak and dagger
antoine-henri becquerel	Henri Becquerel
pseudocereal grain	Pseudocereal
asphalt batch mix plant	Asphalt plant
bonded marble	Solid surface
hidden roof	Hidden roof
extraction of iron	Iron
instant messenging	Instant messaging
nudist walking	Nude recreation
electricity token	Electricity meter
rowett rat	Laboratory rat
trompette militaire	Trompette militaire
mp3 player	MP3 player
arterial spurt	Blood squirt
woman hater	Misogyny
paraurethral gland	Skene's gland
cabin steward	Cabin boy
vaccination during pregnancy	Immunization during pregnancy
thermal relocker	Relocker
list of trolleybus systems	List of trolleybus systems
wood creek	Wood Creek
continuous quantum computation	Continuous-variable quantum information
gliese 581 system	Gliese 581
drvo znanja	Drvo znanja
azerbaijan identity card	Azerbaijan identity card
mambo sauce	Mumbo sauce
accelerated testing of adhesives	Accelerated testing of adhesives
yongzi bafa	Eight Principles of Yong
wheel stud	Wheel stud
eliseo veron	Eliseo Verón
rock concert sound	Sound reinforcement system
tree lights	Christmas lights
football programme	Matchday programme
drilling engineering	Drilling engineering
young grab	Young grab
hashimoto disease	Hashimoto's thyroiditis
absolutely integrable	Absolutely integrable function
shadow copy	Shadow Copy
simple will future	Shall and will
classical radius of an electron	Classical electron radius
internet show	Streaming television
tulu calendar	Tulu calendar
magnetoelectric induction	Inductance
nuclear capability	List of states with nuclear weapons
abstract embedding	Embedding
vignere cipher	Vigenère cipher
year of confusion	Julian calendar
braille pattern dots-12378	Braille pattern dots-123
impact depth	Impact depth
b1053 road	B roads in Zone 1 of the Great Britain numbering scheme
meshfree methods	Meshfree methods
reverse video	Reverse video
florida railroads	List of Florida railroads
mortality rate	Mortality rate
pacific swift	Pacific swift
g11 alpha subunit	Gq alpha subunit
mashhad rug	Persian carpet
1466 in art	1460s in art
maxwell's thermodynamic relations	Maxwell relations
static analyzer	Static program analysis
deashi harai	Deashi harai
dynamic linking	Dynamic linker
gas action	Gas-operated reloading
raven turn	Roller coaster elements
telecoms network	Telecommunications network
mediated communication	Mediated communication
symptom management in end-of-life-care	End-of-life care
kyselina salicylova	Salicylic acid
page file usage	Memory paging
silent trading	Silent trade
semi-automatic pistol	Semi-automatic pistol
worlds largest freshwater lakes	List of lakes by area
nielsen ringscan	Nielsen RingScan
dark silicon	Dark silicon
compact machine pistol	Machine pistol
pangue dam	Pangue Hydroelectric Plant
nuclear ordnance	Nuclear weapon
ancient protein	Ancient protein
steerable parachute	Parachute
bronze foundry	Foundry
wine polyphenols	Phenolic content in wine
broadband penetration	List of countries by number of broadband Internet subscriptions
history of fuck	Fuck
color acupuncture	Colorpuncture
meenmutty waterfalls	Meenmutty Falls (Thiruvananthapuram)
protoplanetary discs	Protoplanetary disk
internal rectal prolapse	Rectal prolapse
orbital angular momentum	Orbital angular momentum
ratio meter systems	Ratio meter systems
estriol 3-sulfate 16α-glucuronide	Estriol sulfate glucuronide
castle thunder	Castle Thunder
edible tableware	Edible tableware
protected forest	Nature reserve
fluctuation theorem	Fluctuation theorem
nitriuretic peptide	Natriuretic peptide
italian waffle	Pizzelle
homeopathy techniques	Homeopathy
demineralized water	Water purification
low-topped supercell	Supercell
dice notation	Dice notation
aetheric transmission	Wireless telegraphy
mind trick	Mind games
dishonored 2	Dishonored 2
reset button technique	Reset button technique
posterior root ganglion	Dorsal root ganglion
connelly sphere	Flexible polyhedron
unicode range	Universal Character Set characters
cruicible steel	Crucible steel
red buffalo-bur	Solanum sisymbriifolium
belt keepers	Police duty belt
direct access arrangement	Data access arrangement
single mode	Transverse mode
cultural determinism	Cultural determinism
polyester fibre	Polyester
1006 in poetry	1000s in poetry
live action roleplay	Live action role-playing game
trolley-replica bus	Tourist trolley
spanish playing cards	Spanish-suited playing cards
brown bess	Brown Bess
broken hearted	Broken heart
alexander wall	Great Wall of Gorgan
fourth derivative	Derivative
prism adaptation	Prism adaptation
symmetric-key cryptography	Symmetric-key algorithm
helmholtz cage	Helmholtz coil
stabilizing ferroelectric materials	Ferroelectric RAM
web service stack	Web services protocol stack
adjacent angle pair	Angle
openly carrying	Open carry in the United States
signal sampling	Digital signal processing
air lettersheet	Aerogram
application of tensor theory in engineering	Application of tensor theory in engineering
lyapunov characteristic number	Lyapunov exponent
taj mahel	Taj Mahal
tidal plain	Mudflat
business letter	Business letter
procedural code	Procedural programming
polycrystalline silicon photovoltaics	Polycrystalline silicon
black desert online	Black Desert Online
anastomosis group	Anastomosis
multiple stopping	Double stop
world view	Worldview
webcomic awards	List of webcomic awards
papas bravas	Patatas bravas
venera 10	Venera 10
dangerous bend sign	Bourbaki dangerous bend symbol
correlation function	Correlation function
polymer fume fever	Polymer fume fever
pencil milling	Pencil milling
figure skate	Figure skate
best and worst cases	Best, worst and average case
osculating orbit	Osculating orbit
lead in cocoa powder	Health effects of chocolate
codd's theorem	Codd's theorem
brand experience	Customer experience
topic outline of computer engineering	Outline of computer engineering
glass engraver	Glass engraving
off-site data protection	Off-site data protection
kirkendall voiding	Kirkendall effect
merkel's receptor	Merkel nerve ending
one-way valve	Check valve
m23 software distribution system	M23 software distribution system
blink comparator	Blink comparator
forensic audio	Audio forensics
radio commentator	Talk radio
coefficient of contraction	Vena contracta
octagonal tiling honeycomb	Heptagonal tiling honeycomb
self-appointed benevolent dictator for life	Mark Shuttleworth
fitness proportionate selection	Fitness proportionate selection
zero-direct-quadrature transform	Direct-quadrature-zero transformation
mesocolon sigmoideum	Mesentery
warm roof	Domestic roof construction
georgia 511	Georgia Navigator
catalan vault	Catalan vault
vector fields on spheres	Vector fields on spheres
basij militia	Basij
soil salt	Soil salinity
acne rosacea	Rosacea
rail crossing	Level crossing
veto referendum	Popular referendum
tactical bomber	Tactical bombing
tactical communications	Tactical communications
maid fetish	French maid
lithium-ion battery recycling	Battery recycling
shadow gravity	Le Sage's theory of gravitation
secure computation	Secure multi-party computation
biomedical materials	Biomaterial
rastrillada de los chilenos	Camino de los chilenos
human-readable medium	Human-readable medium
shrinking generator	Shrinking generator
liquid consonant	Liquid consonant
helmet law defense league	Helmet Law Defense League
dynamical time scale	Dynamical time scale
digital repository	Digital library
ingression coast	Ingression coast
tropical pine forest	Tropical and subtropical coniferous forests
hardware design	Processor design
engineering analysis	Engineering analysis
cartesian diver	Cartesian diver
split-phase power	Split-phase electric power
optical data communication	Optical communication
government rail subsidies	Rail subsidies
egyptian wheel	Noria
colour superconductor	Color superconductivity
old school tie	School tie
pop safety valve	Safety valve
vasoactive intestinal peptide receptor	Vasoactive intestinal peptide receptor
forensic dentists	Forensic dentistry
silent zone	Skip zone
international exposition	World's fair
cider mill	Cider mill
bone densitometry	Dual-energy X-ray absorptiometry
circuit satisfaction problem	Circuit satisfiability problem
rocking curve	Mosaicity
immortal strand hypothesis	Immortal DNA strand hypothesis
surrealistic automatism	Surrealist automatism
subtle bodies	Subtle body
vibrations of a circular drum	Vibrations of a circular membrane
nifedipine poisoning	Calcium channel blocker toxicity
marine sediments	Marine sediment
horse nickar	Nickernut
log-periodic antenna	Log-periodic antenna
sense deprivation	Sensory deprivation
cold scheduler	Instruction scheduling
firebird web browser	Firefox
analog decoding	Digital-to-analog converter
murate of potash	Potassium chloride
double knockouts	Gene knockout
proof by assertion	Proof by assertion
potassium pyrosulfite	Potassium metabisulfite
egoless programming	Egoless programming
cigar punches	Cigar cutter
protandrous hermaphrodite	Sequential hermaphroditism
skin oiliness	Human skin
federal safety and reliability testing	National Highway Traffic Safety Administration
history of operations research	Operations research
fixpoint iteration	Fixed-point iteration
adra prison	Adra Prison
national grid reference system	Grid reference system
winstein reaction	2-Norbornyl cation
general linear group	General linear group
mark 2 grenade	Mk 2 grenade
superficial self	True self and false self
bit level devices	Bit-level parallelism
formal grammar	Formal grammar
apicomplexan cellular morphology	Apicomplexan life cycle
inherent viscosity	Inherent viscosity
bauxite residue	Red mud
ontology versioning	Ontology versioning
kalmia latifolia	Kalmia latifolia
bi-elliptic transfer	Bi-elliptic transfer
dutch colour scheme	Color scheme
evo 4g lte	HTC Evo 4G LTE
transplant rejection	Transplant rejection
growth disorders	Growth hormone therapy
2016 fake news controversy	Fake news website
french headscarf ban	French law on secularity and conspicuous religious symbols in schools
covert advertising	Advertising
waiting mortuary	Morgue
coding metric	Software metric
fetal genitalia	Development of the reproductive system
antisense oligonucleotide therapy	Antisense therapy
serbian alphabet	Serbian Cyrillic alphabet
train ticket	Train ticket
hyperbaric oxygen chamber	Diving chamber
bread maker	Bread machine
simple moving average	Moving average
tri-o-cresyl phosphate	Tricresyl phosphate
automatic weapon	Automatic firearm
victor 9000	Sirius Systems Technology
burslem school of art	Burslem School of Art
jumping off a cliff	BASE jumping
milk formula	Infant formula
battery isolator	Battery isolator
three-axis spectrometers	Neutron triple-axis spectrometry
maxwell-boltzmann distribution	Maxwell–Boltzmann distribution
1936 in radio	1936 in radio
padmasree warrior	Padmasree Warrior
equilibrium statistical mechanics	Statistical mechanics
letter of undertaking	Letter of credit
chimpanzees tea parties	Chimpanzees' tea party
valet service	Valet parking
high school of fashion industries	High School of Fashion Industries
theatre sound design	Sound design
blueback shad	Blueback herring
hypertext markup language	HTML
gravity sand filter	Rapid sand filter
null energy condition	Energy condition
kolmogorov equation power series time response	Cepstrum
cure for aging	Strategies for engineered negligible senescence
compiler farm	Compile farm
live albums	Album
pitched gongs	Gong
weak integral	Pettis integral
poster frame	Film frame
exhaustion of rights	Exhaustion of intellectual property rights
tweet fic	Twitterature
early photographers of york	Early photographers of York
glucagon receptor family	Glucagon receptor family
wiki codes	Wiki
google calandar	Google Calendar
year pronunciation	English numerals
40 bit colour	Color depth
sequential memory access	Sequential access
copper phthalocyanine	Phthalocyanine Blue BN
oxygen enhancement ratio	Oxygen enhancement ratio
peaches discography	Peaches discography
connecticut television network	Connecticut Network
gebidem lake	Stausee Gibidum
replacement window	Window
sizewell nuclear power stations	Sizewell nuclear power stations
online discussion platform	Online discussion platform
bofors controversy	Bofors scandal
real computation	Real computation
sangkhaya fakthong	Pumpkin-coconut custard
rubbish lorry	Garbage truck
million service units	Million service units
audi rate	Audi R8
little bunny fufu	Little Bunny Foo Foo
situated cognition	Situated cognition
egg banking	Oocyte cryopreservation
credit card register	Credit card
525 lines	480i
vascular endothelial growth factor receptor	VEGF receptor
bus mouse	Bus mouse
paint shop	PaintShop Pro
contextual advertisement	Contextual advertising
technology innovation act	Stevenson-Wydler Technology Innovation Act of 1980
switch motor	Point machine
desktop linux	Linux
greither keratoderma	Palmoplantar keratoderma
special pleader	Special pleader
certified enginering technologist	Certified Engineering Technologist
jerusalem mixed grill	Jerusalem mixed grill
download day	Firefox 3.0
used cooking oil	Vegetable oil fuel
summer solstice	Summer solstice
break of guage	Break of gauge
hairytwig huckleberry	Gaylussacia tomentosa
tcp port list	List of TCP and UDP port numbers
health system research	Health services research
front derailleur	Derailleur
plural possessive	Apostrophe
sword breaker	Parrying dagger
business structure	Business
glass marine invertebrates	Glass sea creatures
trigger pad	Trigger pad
fluorescent glucose biosensor	Fluorescent glucose biosensor
gastrointestinal atony	Ileus
palm toddy	Palm wine
persuasion technology	Persuasive technology
alluaudia montagnacii	Alluaudia montagnacii
computer mice	Computer mouse
bulking agents	Food additive
cos integral	Trigonometric integral
fast switching	Thyristor
dispersive partial differential equation	Dispersive partial differential equation
assigned male at birth	Sex assignment
purse accessories	Purse accessories
pubic transportation	Public transport
project objective	Project management
single-decker bus	Single-deck bus
fake news site	Fake news website
geographic number	Geographic number
hydrogen-enriched compressed natural gas	HCNG
corrupt corporation	Corruption
volcanic activity	Volcano
suppression list	Suppression list
list of educational toys	Educational toy
visual cryptography	Visual cryptography
cock road	Cockshoot
grade retention	Grade retention
muhammadun rasulullah	Shahada
stargate atlantis	Stargate Atlantis
colour perception	Color vision
douglas guest	Douglas Guest
mixed deciduous and coniferous	Mixed coniferous forest
aol keyword	AOL
consequence class	Structural robustness
airborne radiation monitoring	Airborne particulate radioactivity monitoring
informational influence	Social proof
linear electromagnetic propulsion	Linear motor
five gallon bucket	Bucket
image statistics	Scene statistics
uses of sodium hydroxide	Sodium hydroxide
new age of earth	New Age of Earth
thallium barium calcium copper oxide	Thallium barium calcium copper oxide
blasting cap	Detonator
quasiconformal curve	Quasicircle
choo-choo train	Steam locomotive
manhattan plot	Manhattan plot
water aerodrome	Aerodrome
lymphoid follicles	Lymph node
uralenic acid	Enoxolone
renal disorder	Kidney
three-phase current	Mathematics of three-phase electric power
dark violet	Violet (color)
file handle	File descriptor
gearbox main drive retainer	Gearbox main drive retainer
basic trainer	Trainer aircraft
stained glass windows	Stained glass
selected takes	Film editing
colorless green ideas sleep furiously	Colorless green ideas sleep furiously
flying bedstead	Rolls-Royce Thrust Measuring Rig
school of metalliferous mining	School of Metalliferous Mining
abacus chinese	Suanpan
consecutive reaction monitoring	Selected reaction monitoring
public transport security	Public transport security
moon landing conspiracy theories	Moon landing conspiracy theories
theory of color	Color theory
satellite station	Broadcast relay station
huon class	Huon-class minehunter
target-specific oral anticoagulant	Anticoagulant
hero graphic	Hero image
very cold neutron	Neutron temperature
heat bending iron	Heat bending of wood
military tank	Tank
thermal neutral zone	Thermal neutral zone
pharmaceutical industries	Pharmaceutical industry
antiprotozoal agents	Antiprotozoal
underground colonization	Underground city
semi-global matching	Semi-global matching
radial polarization	Radial polarization
tunnel problem	Tunnel problem
freely licensed	Free content
ambulatory electrocardiography device	Cardiac monitoring
nazi extermination camps	Extermination camp
multiple discriminant analysis	Multiple discriminant analysis
luxury villa	Villa
osculating elements	Osculating orbit
pickled fruit	Pickled fruit
canonical quantisation	Canonical quantization
improper disposal of latex balloons and its environmental effects	Balloon
sequoia taxifolia	Sequoia sempervirens
chaotic inflation	Eternal inflation
relativistic kill vehicle	Projectile
broken order reaction	Rate equation
airline safety	Aviation safety
volute krater	Krater
pediatric neurosurgery	Pediatric neurosurgery
animals in espionage	Military animal
quantum topology	Quantum topology
comparison of image file formats	Comparison of graphics file formats
striking knife	Marking knife
starch mill	Starch
rowing skiff	Skiff
polytechnic degree	Institute of technology
slope glider	Radio-controlled glider
wire brush	Wire brush
cartesian grid	Regular grid
optical modes	Transverse mode
olefin fiber	Olefin fiber
decimal computer	Decimal computer
filter funnel	Filter funnel
trangia stove	Trangia
unmanned halt	Train station
speed four	Triumph Speed Four
hurricane hunters	Hurricane hunters
vishakhapattanam-class destroyer	Visakhapatnam-class destroyer
coded mask	Coded aperture
vernacular geographic term	Vernacular geography
learning time	Learning curve
double broadside	Broadside
money transfer service	Money transmitter
median of 5	Median of medians
file recovery	Data recovery
meta-level mark-up	Metadata
newark mound	Newark Earthworks
autonomous system	Autonomous system
comes litoris saxonici	Count of the Saxon Shore
comparison of web server software	Comparison of web server software
group of pictures	Group of pictures
scotch lock	Twist-on wire connector
climate trends	Climate variability and change
petrifying well	Petrifying well
ductwork airtightness	Ductwork airtightness
own race bias	Cross-race effect
hms upholder	HMS Upholder
plössi eyepiece	Eyepiece
conservation and restoration of musical instruments	Conservation and restoration of musical instruments
essential gene	Essential gene
engineering process outsourcing	Outsourcing
classical rhetorics	Rhetoric
planetary nebulae	Planetary nebula
malthusian theory of population	Malthusianism
facebook stalking	Cyberstalking
tandem compound locomotive	Compound locomotive
racah parameter	Racah parameter
home furnishings	Furniture
strictly formula	Formula fiction
cunt splice	Rope splicing
tiger tricholoma	Tricholoma pardinum
charger pad	Inductive charging
low-power autonomous peripheral	Autonomous peripheral operation
examining judge	Examining magistrate
medical cannabis dispensaries	Medical cannabis
auschwitz tattoos	Identification of inmates in German concentration camps
diffraction ring	Airy disk
message broker	Message broker
lactated ringers	Ringer's lactate solution
1 um process	1 µm process
hurwitz curve	Hurwitz surface
temporal frequency	Frequency
digital video recording	Digital video recorder
clr circuit	RLC circuit
electrical junction	Electrical junction
heavy quark effective field theory	Heavy quark effective theory
environmental law	Environmental law
literary novel	Novel
social stress	Social stress
braille pattern dots-458	Braille pattern dots-45
sponsored link management	Pay-per-click
common gray tree-frogs	Gray treefrog
blank key	Key blank
ferrous metal recycling	Scrap
eternal damnation	Damnation
low-k dielectric	Low-κ dielectric
underwater glider	Underwater glider
innate immunity	Innate immune system
soil pollution	Soil contamination
nationstates 2	NationStates
list of electricity sectors	List of electricity sectors
heteroduplex dna	Heteroduplex
voice frequency primary patch bay	Voice frequency primary patch bay
dyssocial personality disorder	Antisocial personality disorder
sodium hypoclorite	Sodium hypochlorite
sammarinese lira	Sammarinese lira
exploitation and exploration	Ambidextrous organization
educational televsion	Educational television
reformed methanol fuel cell	Reformed methanol fuel cell
software rejuvenation	Software aging
engineered materials arrestor system	Engineered materials arrestor system
woven bone	Bone
comite international special des perturbations radioelectriques	CISPR
decimal separator key	Decimal separator
jake brake	Compression release engine brake
rubberized asphalt	Rubberized asphalt
flame plasma	Corona treatment
arrhenius acid	Acid–base reaction
diabetes mellitus type 2	Type 2 diabetes
domestic spying program	Terrorist Surveillance Program
gravitational shift	Gravitational redshift
degree completion	Degree completion program
pastry heart	Pastry heart
tissue replacement	Tissue engineering
geometrical continuity	Smoothness
spray dispenser	Spray bottle
trumpet gooseberry	Ribes leptanthum
log sum inequality	Log sum inequality
seasonal thermal energy storage system	Seasonal thermal energy storage
fire bike	Fire bike
thymine dimer	Pyrimidine dimer
average marginal rate	Tax rate
gamma glutamyl transpeptidase	Gamma-glutamyltransferase
bouche fermée	Humming
centralized lubrication system	Automatic lubrication system
strategic human resource planning	Strategic human resource planning
contour maps	Contour line
backspace key	Backspace
butterfly kick	Butterfly kick
polycylic aromatic hydrocarbons	Polycyclic aromatic hydrocarbon
humans in space	Human spaceflight
ideomotor limb apraxia	Ideomotor apraxia
ligation-independent cloning	Ligation-independent cloning
four-center two-electron bond	Four-center two-electron bond
turbine blade	Turbine blade
intelsat 29e	Intelsat 29e
taxicab geometry	Taxicab geometry
optic filter	Optical filter
power stilts	Jumping stilts
direct link	Inline linking
functional formism	Form follows function
methods-time measurement	Methods-time measurement
asphalt mixer	Asphalt plant
x26 taser	Taser
arsenic-utilizing organisms	Arsenic biochemistry
list of software palettes	List of software palettes
sunlight zone	Photic zone
atypical trigeminal neuralgia	Atypical trigeminal neuralgia
perturbation training	Fall prevention
packaging machinery manufacturers institute	Packaging Machinery Manufacturers Institute
scaffold/matrix attachment region	Scaffold/matrix attachment region
clay modeling	Clay modeling
fine weight	Fineness
baker skateboards	Baker Skateboards
superimposed schedules of reinforcement	Reinforcement
egg fryer	Overclocking
applications of energy storage	Energy storage
unicode math	Mathematical operators and symbols in Unicode
application retirement	Application retirement
deep bore tunnel	Tunnel boring machine
brake force	Brake force
typing without looking at keyboard	Touch typing
climate activity	Climate change
balanced polymorphism	Balancing selection
blog hopping	Glossary of blogging
carbon film resistor	Resistor
chicago manual of style	The Chicago Manual of Style
pearl rice	Glutinous rice
spanish units	Spanish customary units
brushless doubly fed electric motor	Doubly-fed electric machine
slow manifold	Slow manifold
2-tier architecture	Client–server model
polyphase coil	Polyphase coil
integration point	Numerical integration
bronchiolar epithelium	Respiratory epithelium
bell california	Bell, California
cybersecurity legislation	Cyber-security regulation
juggling patterns	Juggling pattern
weather control	Weather modification
typographical error	Typographical error
geodetic networks	Geodetic control network
smartphone 2002	Windows Mobile
process duct work	Process duct work
driving sides	Left- and right-hand traffic
lorentzian wormhole	Wormhole
astronomical calendar	Solar calendar
moon landing hoax accusations	Moon landing conspiracy theories
history of genetic algorithms	Genetic algorithm
bates's chip	Bates's chip
reservoir glass	Absinthiana
host-cell reactivation assay	Host-cell reactivation
html attribute	HTML attribute
fixpoint algorithm	Fixed-point iteration
storm force winds	Beaufort scale
road grading system	Route number
button battery	Button cell
deflagration pressure	Pressure
lames parameters	Lamé parameters
big spill	Deepwater Horizon oil spill
ice point	Melting
flash blindness	Flash blindness
thermo-optic camouflage	Active camouflage
source model	Open-source model
drug resistant bacteria	Antimicrobial resistance
snowmelt system	Snowmelt system
adhesive bonding	Adhesive bonding
greek cursive	Cursive
wen and wu	Wen and wu
robot software	Robot software
gravitational redshift	Gravitational redshift
alternative complement pathway	Alternative complement pathway
ambient light sensor	Ambient light sensor
automatic landing system	Instrument landing system
sequencing by synthesis	Illumina dye sequencing
space elevator	Space elevator
snow pillow	Snow pillow
anatomical compartment	Fascial compartment
teflon bullet	Teflon-coated bullet
inversion method	Inverse transform sampling
sườn nướng	Sườn nướng
joke generator	Computational humor
economic complexity index	Economic Complexity Index
position resection	Position resection and intersection
holcus compactus	Sorghum bicolor
medical maintenance	Biomedical equipment technician
beograd-class destroyer	Beograd-class destroyer
urban runoff	Urban runoff
compiling tools	Compiler
soap-box cart	Gravity racer
cubic fathom	Cubic fathom
head tracking	Motion capture
dental composite	Dental composite
lipstick camera	Hidden camera
princess cake	Princess cake
mousterian culture	Mousterian
proportional integral derivative	PID controller
hose strap	Hose strap
ethno village	Open-air museum
wolffian structure	Mesonephric duct
man's origin	Anthropogeny
leaching of creosote into aquatic ecosystems	Creosote
3-quinuclidinyl benzilate	3-Quinuclidinyl benzilate
acne medication	Acne
genitourinary tract injury	Genitourinary tract injury
wikimania 2005	Wikimania
cephaoglycin acid	Cefaloglycin
parellel computing	Parallel computing
gray molasses	Gray molasses
reservoir simulator	Reservoir simulation
massive multiplayer online first-person shooter	Massively multiplayer online game
places to intervene in a system	Twelve leverage points
bikini contest	Swimsuit competition
small-molecule drug	Small molecule
butterfly plan	Butterfly plan
scuba cylinder	Diving cylinder
contagious marketing	Viral marketing
nucleotide duplication	Gene duplication
ćuk inverter	Ćuk converter
subject-verb agreement	Verb
filet de bœuf en croûte	Beef Wellington
internet community	Virtual community
sol-air temperature	Sol-air temperature
propylene glycol	Propylene glycol
car dealerships in north america	Car dealerships in the United States
skin treatment products	Cosmetics
digital sound revolution	Digital sound revolution
massive data repository	Utah Data Center
national guitar	National String Instrument Corporation
helical band actuator	Helical band actuator
stages of small group development	Tuckman's stages of group development
early growth response proteins	Early growth response proteins
salsola stocksii	Seidlitzia stocksii
spot metering	Metering mode
milk champagne	Kumis
experimental value	Accepted and experimental value
product endorser	Brand ambassador
sea jellies	Jellyfish
hoechst stain	Hoechst stain
bicycle frame construction	Bicycle frame
pulverised fuel ash	Fly ash
human auxology	Auxology
front organisations	Front organization
body temperature	Thermoregulation
sostenuto pedal	Piano pedals
a la carte pay television	A la carte pay television
frost burn	Frostbite
lamport ordering	Happened-before
iv colloid	Intravenous therapy
pure antiandrogens	Antiandrogen
dash trash	Permatemp
list of sovereign states in 1996	List of sovereign states in the 1990s
renewable resource	Renewable resource
mature protein	Post-translational modification
intervertebral differential dynamics	Spinal decompression
buckeye gasoline buggy	Buckeye gasoline buggy
dolby headphone	Dolby Headphone
cyber hygiene	Computer security
state of mind	State of Mind
bubble liquid	Soap bubble
takeoff and landing	Takeoff and landing
roadside zoos	Zoo
friden brickworks	DSF Refractories & Minerals Ltd
network card	Network interface controller
nuclear reactor safety system	Nuclear reactor safety system
history of continuous noninvasive arterial pressure	History of continuous noninvasive arterial pressure
cubicle farm	Cubicle
superfamily database	Superfamily database
clinical guided imagery	Guided imagery
solid hydrogen	Solid hydrogen
realtime os	Real-time operating system
calibrated submanifold	Calibrated geometry
theoretical astrophysicist	Astrophysics
cuban convertible peso	Cuban convertible peso
tunisie 7	El Watania 1
anisotropic liquid	Anisotropy
glutamate-induced excitotoxicity	Excitotoxicity
israeli military checkpoints	Israeli checkpoint
vehicle platform	Car platform
electroshapable material	Electroshapable material
electrification system	Railway electrification system
brand piracy	Brand piracy
nuclear fusion	Nuclear fusion
manifolded twin set	Diving cylinder
beardslee telegraph	Beardslee Telegraph
akwete cloth	Akwete cloth
art media	List of art media
cognate linkage	Cognate linkage
porta potty	Portable toilet
hybridization barriers	Reproductive isolation
testosterone-estradiol-binding protein	Sex hormone-binding globulin
political repression of bloggers	Political repression of cyber-dissidents
pencil sharpener	Pencil sharpener
reverse engineering	Reverse engineering
bulk collection	Mass surveillance
broad arrow	Broad arrow
ucode system	Ucode system
age-related maculopathy	Macular degeneration
cheriton shuttle terminal	Eurotunnel Folkestone Terminal
guild of thieves	The Guild of Thieves
category 4 hurricane	Saffir–Simpson scale
focal length multiplier	Crop factor
s-oil corporation	S-Oil
persian units of measurement	Persian units of measurement
business process outsourcing	Outsourcing
nerve ring	Circumesophageal nerve ring
manycore microprocessor	Manycore processor
sine squared	Sine
būtingė terminal	Būtingė oil terminal
weather forecasts	Weather forecasting
nonlinear simultaneous equations	System of polynomial equations
engine power plant	Engine power plant
orphan drug exclusivity	Orphan drug
chinese barbecue	Siu mei
watson's test	Watson's test
dream hypothesis	Simulated reality
knockdown mouse	Gene knockdown
miller cycle	Miller cycle
dry-ice blasting	Dry-ice blasting
piano roll	Piano roll
breastshot wheel	Water wheel
fiddle cross-fingering	Bariolage
1467 in art	1460s in art
creeping normalcy	Creeping normality
over-the-air television	Terrestrial television
uniform display case	Shadow box
private television	Commercial broadcasting
list of coins	List of currencies
chinese wood oil	Tung oil
log-concave function	Logarithmically concave function
loeb's theorem	Löb's theorem
sims 2 seasons	The Sims 2: Seasons
dipole operator	Dipole
list of train songs	List of train songs
guard lock	Control lock
applied unified communications	Applied unified communications
fire photography	Fire photography
japanese woodblock printings	Woodblock printing in Japan
pulse tube cryocooler	Pulse tube refrigerator
activation of cyclopropanes by transition metals	Activation of cyclopropanes by transition metals
prepared for dyeing	Glossary of dyeing terms
modulation doping	Modulation doping
nest thermostat	Nest Thermostat
astronomical rings	Astronomical rings
search plugin	Search plugin
def-use chain	Use-define chain
vernier theodolite	Theodolite
digital policy	Digital transformation
anal valves	Anal valves
defiant-class patrol vessel	Defiant-class patrol vessel
contributors to physical cosmology	List of cosmologists
wardley map	Wardley map
heat-powered air conditioning	Solar air conditioning
serum sodium	Sodium in biology
dabbing in motorcycling	Motorcycle trials
friction circle	Circle of forces
exponential discounting	Exponential discounting
yeh hamza	Hamza
link-and-pin coupler	Railway coupling
hand compass	Hand compass
liouville approximation theorem	Liouville number
hydraulic automaton	Hydraulics
digital radio mondiale	Digital Radio Mondiale
achelous-class repair ship	Achelous-class repair ship
alkaline electrolysis	Alkaline water electrolysis
instant return mirror	Instant return mirror
v5 engine	V5 engine
kapitel 06	Xerxes de Oliveira
hand gesture	List of gestures
high-power electricity line	Electric power transmission
equipartition theory	Equipartition theorem
grand prix racing	Grand Prix motor racing
flor de la mar	Flor de la Mar
