term,annotation,df
hepatocarcinogens,Disease,bc5cdr
hemiparesis,Disease,bc5cdr
cerebellar dysfunction,Disease,bc5cdr
cerebral damage,Disease,bc5cdr
involuntary movements,Disease,bc5cdr
idiopathic parkinson ' s disease,Disease,bc5cdr
akinesia,Disease,bc5cdr
hepatic toxicity,Disease,bc5cdr
thromboembolism,Disease,bc5cdr
arterial occlusion,Disease,bc5cdr
gastrointestinal and musculoskeletal symptoms,Disease,bc5cdr
impotence,Disease,bc5cdr
impaired glucose tolerance,Disease,bc5cdr
raynaud ' s phenomenon,Disease,bc5cdr
corneal disease,Disease,bc5cdr
myoclonic jerks,Disease,bc5cdr
zollinger - ellison syndrome,Disease,bc5cdr
systemic mastocytosis,Disease,bc5cdr
hepatic or hematologic toxicity,Disease,bc5cdr
hypertrophic,Disease,bc5cdr
skin rashes,Disease,bc5cdr
polymyositis,Disease,bc5cdr
myasthenia gravis,Disease,bc5cdr
skin lesion,Disease,bc5cdr
elastosis perforans serpiginosa,Disease,bc5cdr
wilson ' s disease,Disease,bc5cdr
hypercalcaemia,Disease,bc5cdr
nephrolithiasis,Disease,bc5cdr
wilms tumor,Disease,bc5cdr
incoordination,Disease,bc5cdr
dystonic,Disease,bc5cdr
thalamic lesions,Disease,bc5cdr
urothelial toxicity,Disease,bc5cdr
lung cancer,Disease,bc5cdr
haematuria,Disease,bc5cdr
bladder irritation,Disease,bc5cdr
pollakisuria,Disease,bc5cdr
"myoclonic , atonic , and absence seizures",Disease,bc5cdr
"myoclonic , atypical absence and / or atonic ( minor motor ) seizures",Disease,bc5cdr
ceroid lipofuscinosis,Disease,bc5cdr
renal abnormality,Disease,bc5cdr
heart block,Disease,bc5cdr
neurologically - impaired,Disease,bc5cdr
neurologic impairment,Disease,bc5cdr
movement disorders,Disease,bc5cdr
catatonia,Disease,bc5cdr
thromboembolic,Disease,bc5cdr
a falling platelet count,Disease,bc5cdr
hemorrhagic and thromboembolic complications,Disease,bc5cdr
vt,Disease,bc5cdr
vf,Disease,bc5cdr
ataxia,Disease,bc5cdr
anorexia,Disease,bc5cdr
visual halos or blurring,Disease,bc5cdr
thyroid function abnormalities,Disease,bc5cdr
pulmonary interstitial infiltrates,Disease,bc5cdr
necrotizing myopathy,Disease,bc5cdr
subarachnoid haemorrhage,Disease,bc5cdr
sah,Disease,bc5cdr
cerebral hemorrhage,Disease,bc5cdr
subarachnoid and cerebral hemorrhage,Disease,bc5cdr
renal papillary necrosis,Disease,bc5cdr
rpn,Disease,bc5cdr
impairment of renal reabsorption,Disease,bc5cdr
obstructive sleep apnea syndrome,Disease,bc5cdr
syndrome of obstructive sleep apnea,Disease,bc5cdr
obstructive sleep apnea,Disease,bc5cdr
sleep apnea,Disease,bc5cdr
myocardial lesions,Disease,bc5cdr
acute myeloblastic leukemia,Disease,bc5cdr
leukemia,Disease,bc5cdr
tricuspid valve regurgitation,Disease,bc5cdr
tricuspid regurgitation,Disease,bc5cdr
atrial flutter,Disease,bc5cdr
cardiac disease,Disease,bc5cdr
congenital heart disease,Disease,bc5cdr
neurologic depression,Disease,bc5cdr
impaired learning and memory,Disease,bc5cdr
impaired cognitive functions,Disease,bc5cdr
hypercapnia,Disease,bc5cdr
mydriasis,Disease,bc5cdr
clonic - tonic convulsions,Disease,bc5cdr
diastolic hypertension,Disease,bc5cdr
acute hepatic necrosis,Disease,bc5cdr
fulminant hepatic failure,Disease,bc5cdr
viral hepatitis,Disease,bc5cdr
hepatic veno - occlusive disease,Disease,bc5cdr
veno - occlusive disease of the liver,Disease,bc5cdr
acute lymphocytic leukemia,Disease,bc5cdr
optic neuropathy,Disease,bc5cdr
adult - onset diabetes,Disease,bc5cdr
toxic optic neuropathy,Disease,bc5cdr
visual loss,Disease,bc5cdr
diabetics,Disease,bc5cdr
cataract,Disease,bc5cdr
pancytopenia,Disease,bc5cdr
bone marrow hypoplasia,Disease,bc5cdr
apnoea,Disease,bc5cdr
cardiopulmonary arrest,Disease,bc5cdr
rem sleep deprivation,Disease,bc5cdr
remd,Disease,bc5cdr
head twitches,Disease,bc5cdr
myocardial disease,Disease,bc5cdr
cerebral edema,Disease,bc5cdr
hepatic failure,Disease,bc5cdr
rheumatic heart disease,Disease,bc5cdr
decrease in sexual desire,Disease,bc5cdr
endometrial carcinoma,Disease,bc5cdr
hodgkin disease,Disease,bc5cdr
ovarian failure,Disease,bc5cdr
embryonal rhabdomyosarcoma,Disease,bc5cdr
facial flush,Disease,bc5cdr
inflammatory myopathy,Disease,bc5cdr
non - insulin - dependent diabetes mellitus,Disease,bc5cdr
hypercholesterolemia,Disease,bc5cdr
autoimmune thyroiditis,Disease,bc5cdr
encephalopathic,Disease,bc5cdr
hypersensitivity,Disease,bc5cdr
muscle weakness,Disease,bc5cdr
tonic - clonic seizure,Disease,bc5cdr
neuroblastoma,Disease,bc5cdr
hypercalcemia,Disease,bc5cdr
metastases,Disease,bc5cdr
cerebral ischemia,Disease,bc5cdr
bladder hyperactivity,Disease,bc5cdr
cardiogenic shock,Disease,bc5cdr
renal impairment,Disease,bc5cdr
cognitive deterioration,Disease,bc5cdr
restlessness,Disease,bc5cdr
insomnia,Disease,bc5cdr
nystagmus,Disease,bc5cdr
left ventricular end - diastolic volume falls,Disease,bc5cdr
ocular hypertension,Disease,bc5cdr
corticosteroid glaucoma,Disease,bc5cdr
hypertensive eyes,Disease,bc5cdr
open angle glaucoma,Disease,bc5cdr
steroid glaucoma,Disease,bc5cdr
primary open angle glaucoma,Disease,bc5cdr
auditory dysfunction,Disease,bc5cdr
hiv - 1 infection,Disease,bc5cdr
immunodeficiency,Disease,bc5cdr
diarrhea,Disease,bc5cdr
flatulence,Disease,bc5cdr
abdominal pain,Disease,bc5cdr
weight loss,Disease,bc5cdr
weakness,Disease,bc5cdr
"loss of thick , myosin filaments",Disease,bc5cdr
pathology at both the neuromuscular junction,Disease,bc5cdr
hepatic dysfunction,Disease,bc5cdr
water intoxication,Disease,bc5cdr
abortion,Disease,bc5cdr
abortions,Disease,bc5cdr
asthenia,Disease,bc5cdr
headaches,Disease,bc5cdr
tuberculous,Disease,bc5cdr
dyskinetic,Disease,bc5cdr
hallucinatory,Disease,bc5cdr
telangiectasia,Disease,bc5cdr
flushing,Disease,bc5cdr
rpgn,Disease,bc5cdr
primary biliary cirrhosis,Disease,bc5cdr
rheumatologic diseases,Disease,bc5cdr
dermatomyositis,Disease,bc5cdr
hyperesthesia,Disease,bc5cdr
neuralgia,Disease,bc5cdr
oedema,Disease,bc5cdr
non - hodgkin ' s lymphoma,Disease,bc5cdr
neuropathic symptoms,Disease,bc5cdr
adenomas,Disease,bc5cdr
focal nodular hyperplasia,Disease,bc5cdr
adenoma,Disease,bc5cdr
neuronal degeneration,Disease,bc5cdr
synovitis,Disease,bc5cdr
ventricular tachyarrhythmias,Disease,bc5cdr
torsade de pointes,Disease,bc5cdr
hypomagnesemia,Disease,bc5cdr
qtc interval prolongation,Disease,bc5cdr
rhabdomyolysis,Disease,bc5cdr
muscle spasms,Disease,bc5cdr
obese,Disease,bc5cdr
edematous,Disease,bc5cdr
venous complications,Disease,bc5cdr
swelling,Disease,bc5cdr
uremia,Disease,bc5cdr
hepatomas,Disease,bc5cdr
liver lesions,Disease,bc5cdr
increase in map,Disease,bc5cdr
angioneurotic edema,Disease,bc5cdr
quincke ' s disease,Disease,bc5cdr
edema,Disease,bc5cdr
upper - airway obstruction,Disease,bc5cdr
drug allergies,Disease,bc5cdr
tongue swelling,Disease,bc5cdr
bone tumor,Disease,bc5cdr
bone tumors,Disease,bc5cdr
ventricular dilation,Disease,bc5cdr
cardiac abnormalities,Disease,bc5cdr
hypertensives,Disease,bc5cdr
cognitive impairment,Disease,bc5cdr
impairment of cognitive function,Disease,bc5cdr
cerebral venous sinus and internal carotid artery thrombosis,Disease,bc5cdr
hemorrhagic infarct,Disease,bc5cdr
occlusion of the left internal carotid artery,Disease,bc5cdr
venous sinus thrombosis,Disease,bc5cdr
cerebral artery and the venous sinus occlusion,Disease,bc5cdr
thrombosis of both the ica and the venous sinus,Disease,bc5cdr
ovarian and breast carcinoma,Disease,bc5cdr
leukopenia,Disease,bc5cdr
myalgia,Disease,bc5cdr
arthralgia,Disease,bc5cdr
granulocytopenia,Disease,bc5cdr
reduction of food intake,Disease,bc5cdr
loss in body weight,Disease,bc5cdr
tetanic,Disease,bc5cdr
atrophy,Disease,bc5cdr
muscle atrophy,Disease,bc5cdr
leg and back pain,Disease,bc5cdr
pain in the legs and / or back,Disease,bc5cdr
leg and / or back pain,Disease,bc5cdr
liver injuries,Disease,bc5cdr
liver damage,Disease,bc5cdr
hepatic damage,Disease,bc5cdr
tetraparetic,Disease,bc5cdr
cardiovascular and central nervous system toxicity,Disease,bc5cdr
pupillary oscillation,Disease,bc5cdr
paranoia,Disease,bc5cdr
cip,Disease,bc5cdr
serotonin syndrome,Disease,bc5cdr
salivation,Disease,bc5cdr
hypoventilation,Disease,bc5cdr
paralyzed,Disease,bc5cdr
urothelial cancer,Disease,bc5cdr
bladder tumor,Disease,bc5cdr
bladder tumors,Disease,bc5cdr
mucositis,Disease,bc5cdr
edds,Disease,bc5cdr
choreoathetosis,Disease,bc5cdr
attention deficit disorder,Disease,bc5cdr
choreoathetoid,Disease,bc5cdr
elevated intraocular pressure,Disease,bc5cdr
iop rise,Disease,bc5cdr
acute liver failure,Disease,bc5cdr
bacterial infections,Disease,bc5cdr
alf,Disease,bc5cdr
hepatotoxic,Disease,bc5cdr
adenomyosis,Disease,bc5cdr
hyperprolactinemia,Disease,bc5cdr
ventricular septal defect,Disease,bc5cdr
ventricular septal rupture,Disease,bc5cdr
septal rupture,Disease,bc5cdr
ns,Disease,bc5cdr
neuroleptic malignant syndrome,Disease,bc5cdr
extrapyramidal symptoms,Disease,bc5cdr
granulosa cell tumor of the ovary,Disease,bc5cdr
liver dysfunction,Disease,bc5cdr
granulosa cell tumors,Disease,bc5cdr
myelodysplasia,Disease,bc5cdr
macrocytic anemia,Disease,bc5cdr
myelodysplastic syndrome,Disease,bc5cdr
mds,Disease,bc5cdr
myelodysplastic,Disease,bc5cdr
hyperplastic marrow,Disease,bc5cdr
dysmyelopoiesis,Disease,bc5cdr
hypocellular marrow,Disease,bc5cdr
dyserythropoiesis,Disease,bc5cdr
hemosiderosis,Disease,bc5cdr
pituitary tumors,Disease,bc5cdr
cancers,Disease,bc5cdr
dehydration,Disease,bc5cdr
head injury,Disease,bc5cdr
polyuric,Disease,bc5cdr
tle,Disease,bc5cdr
bradykinesia,Disease,bc5cdr
gastroenteritis,Disease,bc5cdr
ventricular dysrhythmias,Disease,bc5cdr
dysrhythmias,Disease,bc5cdr
sphincter of oddi spasm,Disease,bc5cdr
sphincter of oddi dyskinesia,Disease,bc5cdr
spasm,Disease,bc5cdr
glomerular disease,Disease,bc5cdr
membranous glomerulonephritis,Disease,bc5cdr
painful,Disease,bc5cdr
prolongation of the qt interval,Disease,bc5cdr
gastrointestinal motility disorders,Disease,bc5cdr
prolongation of qt interval,Disease,bc5cdr
sudden cardiac death,Disease,bc5cdr
gastroesophageal reflux disorder,Disease,bc5cdr
syncope,Disease,bc5cdr
qt - interval prolongation,Disease,bc5cdr
hyperkinetic,Disease,bc5cdr
abnormal involuntary movement,Disease,bc5cdr
sinusitis,Disease,bc5cdr
advanced disease,Disease,bc5cdr
endometrial cancers,Disease,bc5cdr
peripheral nervous system damage,Disease,bc5cdr
peripheral neurotoxicity,Disease,bc5cdr
irritable bowel syndrome,Disease,bc5cdr
disordered gastrointestinal motility,Disease,bc5cdr
ibs,Disease,bc5cdr
diarrhoea,Disease,bc5cdr
breast - cancer,Disease,bc5cdr
vascular events,Disease,bc5cdr
hypertriglyceridaemia,Disease,bc5cdr
sle,Disease,bc5cdr
birth defects,Disease,bc5cdr
cleft lip and palate,Disease,bc5cdr
systemic lupus erythematodes,Disease,bc5cdr
stillbirth,Disease,bc5cdr
autoimmune disease,Disease,bc5cdr
lupus,Disease,bc5cdr
valvular heart disease,Disease,bc5cdr
valvular disease,Disease,bc5cdr
valvular abnormalities,Disease,bc5cdr
valvulopathy,Disease,bc5cdr
aortic or mitral regurgitation,Disease,bc5cdr
aortic regurgitation,Disease,bc5cdr
mitral regurgitation,Disease,bc5cdr
bicuspid aortic valve,Disease,bc5cdr
aortic insufficiency,Disease,bc5cdr
decreased auditory function,Disease,bc5cdr
auditory loss,Disease,bc5cdr
structural and functional impairment of mitochondria,Disease,bc5cdr
cardiovascular arrhythmias,Disease,bc5cdr
mitochondrial structural and functional impairment,Disease,bc5cdr
qt prolongation,Disease,bc5cdr
dyspnea,Disease,bc5cdr
loss of consciousness,Disease,bc5cdr
macro - papular rash,Disease,bc5cdr
allergy,Disease,bc5cdr
hyperammonemic encephalopathy,Disease,bc5cdr
azotemia,Disease,bc5cdr
hypoactivity,Disease,bc5cdr
learning and memory impairment,Disease,bc5cdr
allodynia,Disease,bc5cdr
impairment of learning and memory,Disease,bc5cdr
liver toxicity,Disease,bc5cdr
left ventricular dysfunction,Disease,bc5cdr
myocardial ischaemia,Disease,bc5cdr
ischaemia,Disease,bc5cdr
stable angina,Disease,bc5cdr
primary pulmonary hypertension,Disease,bc5cdr
pph,Disease,bc5cdr
thrombotic,Disease,bc5cdr
skin reactions,Disease,bc5cdr
allergic reactions,Disease,bc5cdr
alopecia,Disease,bc5cdr
hypoaldosteronism,Disease,bc5cdr
priapism,Disease,bc5cdr
hitt,Disease,bc5cdr
ischemic optic neuropathies,Disease,bc5cdr
deterioration of vision,Disease,bc5cdr
optic nerve toxicity,Disease,bc5cdr
bradyarrhythmia,Disease,bc5cdr
hypercalcemias,Disease,bc5cdr
malignancies,Disease,bc5cdr
acute nephrotoxicity,Disease,bc5cdr
toxoplasmosis,Disease,bc5cdr
oliguria,Disease,bc5cdr
renal calculi,Disease,bc5cdr
ureteral lithiasis,Disease,bc5cdr
downbeat nystagmus,Disease,bc5cdr
downbeating nystagmus,Disease,bc5cdr
ovarian and fallopian tube cancers,Disease,bc5cdr
carcinoma of the peritoneum,Disease,bc5cdr
erythrodysesthesia,Disease,bc5cdr
stomatitis,Disease,bc5cdr
ovarian or fallopian tube cancers,Disease,bc5cdr
peritoneal carcinoma,Disease,bc5cdr
hand - foot syndrome,Disease,bc5cdr
bipolar mania,Disease,bc5cdr
extrapyramidal symptom,Disease,bc5cdr
eps,Disease,bc5cdr
epss,Disease,bc5cdr
weight gain,Disease,bc5cdr
pupil dilation,Disease,bc5cdr
pupillary dilation,Disease,bc5cdr
isotretinoin embryopathy,Disease,bc5cdr
anotia,Disease,bc5cdr
taussig - bing malformation,Disease,bc5cdr
stress incontinence,Disease,bc5cdr
urinary stress incontinence,Disease,bc5cdr
a significant rise in systolic blood pressure,Disease,bc5cdr
hyperglycemic,Disease,bc5cdr
cardiotoxity,Disease,bc5cdr
cocaine and ethanol abuse,Disease,bc5cdr
abuse of cocaine and ethanol,Disease,bc5cdr
cardiovascular collapse,Disease,bc5cdr
decrease in cardiac output,Disease,bc5cdr
myocardial depression,Disease,bc5cdr
irregular heartbeat,Disease,bc5cdr
irregular heart beat,Disease,bc5cdr
vasculitic disorders,Disease,bc5cdr
oral ulcers,Disease,bc5cdr
polyarthralgia,Disease,bc5cdr
abnormal left ventricular filling,Disease,bc5cdr
coronary artery or myocardial disease,Disease,bc5cdr
long - qt syndrome,Disease,bc5cdr
hypokinesis,Disease,bc5cdr
tachydysrhythmias,Disease,bc5cdr
sinus tachycardia,Disease,bc5cdr
preterm infants,Disease,bc5cdr
cysts,Disease,bc5cdr
subependymal cysts,Disease,bc5cdr
premature ( < 36 weeks of gestation ) infants,Disease,bc5cdr
subependymal cyst,Disease,bc5cdr
peripheral neuropathy,Disease,bc5cdr
fatty liver,Disease,bc5cdr
squamous cell carcinoma of the cervix,Disease,bc5cdr
cervical carcinoma,Disease,bc5cdr
squamous cell cervical carcinoma,Disease,bc5cdr
neutropenic fever,Disease,bc5cdr
antibiomania,Disease,bc5cdr
ocular dyskinesias,Disease,bc5cdr
choreatic dyskinesias,Disease,bc5cdr
dysmenorrhea,Disease,bc5cdr
pelvic pain,Disease,bc5cdr
low back pain,Disease,bc5cdr
neprotic,Disease,bc5cdr
hypoxaemia,Disease,bc5cdr
patent ductus arteriosus,Disease,bc5cdr
hyponatremia,Disease,bc5cdr
syndrome of inappropriate anti - diuretic hormone,Disease,bc5cdr
syndrome of inappropriate secretion of anti - diuretic hormone,Disease,bc5cdr
siadh,Disease,bc5cdr
lymphoma,Disease,bc5cdr
haemorrhagic,Disease,bc5cdr
interstitial cystitis,Disease,bc5cdr
gastric cancer,Disease,bc5cdr
agc,Disease,bc5cdr
vomitus,Disease,bc5cdr
hemolytic - uremic syndrome,Disease,bc5cdr
leukocyturia,Disease,bc5cdr
impaired renal function,Disease,bc5cdr
human immunodeficiency virus type 1 - infected,Disease,bc5cdr
impairment of the renal function,Disease,bc5cdr
mi,Disease,bc5cdr
cardiac death,Disease,bc5cdr
ain,Disease,bc5cdr
retinal vein occlusion,Disease,bc5cdr
skin rash,Disease,bc5cdr
nms,Disease,bc5cdr
decreased the locomotor activity,Disease,bc5cdr
af,Disease,bc5cdr
mastocytosis,Disease,bc5cdr
haematological malignancies,Disease,bc5cdr
peripheral sensory neuropathy,Disease,bc5cdr
central nervous system toxicity,Disease,bc5cdr
central nervous system and cardiac toxicity,Disease,bc5cdr
grand mal seizures,Disease,bc5cdr
proarrhythmia,Disease,bc5cdr
myotonia congenita,Disease,bc5cdr
myotonic disorders,Disease,bc5cdr
mc,Disease,bc5cdr
sustained membrane depolarisation,Disease,bc5cdr
muscle spasm,Disease,bc5cdr
myotonic condition,Disease,bc5cdr
myotonia,Disease,bc5cdr
ion channel disorders,Disease,bc5cdr
malignant hyperthermia,Disease,bc5cdr
apnea,Disease,bc5cdr
hyperventilation,Disease,bc5cdr
leukaemia,Disease,bc5cdr
sensory and motor dysfunction,Disease,bc5cdr
arrhythmic,Disease,bc5cdr
drug - induced dyskinesias,Disease,bc5cdr
thalassemia,Disease,bc5cdr
retinoblastoma,Disease,bc5cdr
abnormal ocular motility,Disease,bc5cdr
rupture,Disease,bc5cdr
tuberculosis of the lung or lymph node,Disease,bc5cdr
visual impairment,Disease,bc5cdr
gustatory hyperhidrosis,Disease,bc5cdr
sweating,Disease,bc5cdr
sore throat,Disease,bc5cdr
oligomenorrhea,Disease,bc5cdr
psychiatric symptoms,Disease,bc5cdr
galactorrhea,Disease,bc5cdr
syndrome of inappropriate secretion of antidiuretic hormone,Disease,bc5cdr
multiple myeloma,Disease,bc5cdr
palpitation,Disease,bc5cdr
pure red cell aplasia,Disease,bc5cdr
toxic dermatitis,Disease,bc5cdr
cardiac diseases,Disease,bc5cdr
cerebral anoxia,Disease,bc5cdr
visual field defect,Disease,bc5cdr
deterioration in visual field,Disease,bc5cdr
facial inflammatory dermatoses,Disease,bc5cdr
rosacea,Disease,bc5cdr
perioral dermatitis,Disease,bc5cdr
inflammatory facial dermatoses,Disease,bc5cdr
eczema,Disease,bc5cdr
periocular dermatitis,Disease,bc5cdr
atopic dermatitis,Disease,bc5cdr
papular rosacea,Disease,bc5cdr
leprosy,Disease,bc5cdr
structural deficits in the human brain,Disease,bc5cdr
"abnormalities in the cortex , hippocampus , white matter , and ventricles",Disease,bc5cdr
impaired memory performance,Disease,bc5cdr
gliosis,Disease,bc5cdr
neuronal damage,Disease,bc5cdr
brain injury,Disease,bc5cdr
dyslipidemia,Disease,bc5cdr
psychological disturbance,Disease,bc5cdr
diabetes insipidus,Disease,bc5cdr
neurogenic diabetes insipidus,Disease,bc5cdr
di,Disease,bc5cdr
traumatic brain injury,Disease,bc5cdr
nephrogenic di,Disease,bc5cdr
neurogenic di,Disease,bc5cdr
brain trauma,Disease,bc5cdr
chronic hepatitis c,Disease,bc5cdr
mitochondrial injury,Disease,bc5cdr
mitochondrial oxidative damage,Disease,bc5cdr
ventricular dysfunction,Disease,bc5cdr
coronary vasospasm,Disease,bc5cdr
oral stereotypies,Disease,bc5cdr
swallowing abnormalities,Disease,bc5cdr
gastrointestinal abnormalities,Disease,bc5cdr
dysphagia,Disease,bc5cdr
tubulointerstitial nephritis,Disease,bc5cdr
schizoaffective disorder,Disease,bc5cdr
insulin sensitivity,Disease,bc5cdr
insulin resistance,Disease,bc5cdr
thoracic hematomyelia,Disease,bc5cdr
attention - deficit hyperactivity disorder,Disease,bc5cdr
psychotic,Disease,bc5cdr
affective disorder,Disease,bc5cdr
acute renal insufficiency,Disease,bc5cdr
primary systemic amyloidosis,Disease,bc5cdr
al,Disease,bc5cdr
ari,Disease,bc5cdr
hypoalbuminemia,Disease,bc5cdr
tubular injury,Disease,bc5cdr
middle cerebral artery occlusion,Disease,bc5cdr
ischemic brain injury,Disease,bc5cdr
htn,Disease,bc5cdr
ischemic hemisphere,Disease,bc5cdr
vasogenic edema,Disease,bc5cdr
hemorrhages,Disease,bc5cdr
cutaneous reactions,Disease,bc5cdr
erythema,Disease,bc5cdr
urticaria,Disease,bc5cdr
prolonged qt syndrome,Disease,bc5cdr
hypocalcaemia,Disease,bc5cdr
menopausal symptoms,Disease,bc5cdr
dementia,Disease,bc5cdr
transient ischaemic attacks,Disease,bc5cdr
colorectal cancer,Disease,bc5cdr
colon cancer,Disease,bc5cdr
chronic disease,Disease,bc5cdr
drug - induced liver injury,Disease,bc5cdr
dili,Disease,bc5cdr
cholestatic,Disease,bc5cdr
myocardiopathy,Disease,bc5cdr
renal tubular injury,Disease,bc5cdr
desquamation,Disease,bc5cdr
kidney damage,Disease,bc5cdr
hyperlipoproteinemias,Disease,bc5cdr
atherosclerotic vascular disease,Disease,bc5cdr
myositis,Disease,bc5cdr
myoglobinuria,Disease,bc5cdr
restless legs syndrome,Disease,bc5cdr
rls,Disease,bc5cdr
postprandial dyspepsia,Disease,bc5cdr
coronary arterial disease,Disease,bc5cdr
coronary arteriosclerosis,Disease,bc5cdr
hyperglyceridemic effect,Disease,bc5cdr
precordial pain,Disease,bc5cdr
right bundle branch block,Disease,bc5cdr
cardiac symptoms,Disease,bc5cdr
hepatocellular carcinoma,Disease,bc5cdr
fanconi ' s anemia,Disease,bc5cdr
septicemia,Disease,bc5cdr
hemorrhagic bronchopneumonia,Disease,bc5cdr
peliosis,Disease,bc5cdr
hepatic tumors,Disease,bc5cdr
hepatic neoplasms,Disease,bc5cdr
cardiomyocyte damage,Disease,bc5cdr
atrial fibrillation and flutter,Disease,bc5cdr
afl,Disease,bc5cdr
lv hypertrophy,Disease,bc5cdr
cardiac inotropic,Disease,bc5cdr
qt interval prolongation,Disease,bc5cdr
arterial dysfunction,Disease,bc5cdr
extrapyramidal syndrome,Disease,bc5cdr
impairs associative learning,Disease,bc5cdr
impaired novel word learning,Disease,bc5cdr
polyarteritis nodosa,Disease,bc5cdr
palmoplantar pustulosis,Disease,bc5cdr
myalgias,Disease,bc5cdr
testicular pain,Disease,bc5cdr
cirrhotic diseases,Disease,bc5cdr
autistic disorder,Disease,bc5cdr
aggression,Disease,bc5cdr
behavioral dyscontrol,Disease,bc5cdr
inattention,Disease,bc5cdr
schizophreniform disorder,Disease,bc5cdr
visual field loss,Disease,bc5cdr
visual field abnormalities,Disease,bc5cdr
atrioventricular block,Disease,bc5cdr
carcinoma of the breast,Disease,bc5cdr
bradycardic,Disease,bc5cdr
acute myocardial infarction,Disease,bc5cdr
ami,Disease,bc5cdr
gi bleeding,Disease,bc5cdr
severe malaria,Disease,bc5cdr
premature ventricular contraction,Disease,bc5cdr
chill,Disease,bc5cdr
loss of hearing,Disease,bc5cdr
pvc,Disease,bc5cdr
sinoatrial block,Disease,bc5cdr
heart diseases,Disease,bc5cdr
electrolyte disorder,Disease,bc5cdr
malaria,Disease,bc5cdr
lichenoid dermatitis,Disease,bc5cdr
wilson disease,Disease,bc5cdr
"hepatic , neurologic and psychiatric disorders",Disease,bc5cdr
chronic liver disease,Disease,bc5cdr
drop in blood pressure,Disease,bc5cdr
syncopal episode,Disease,bc5cdr
acute encephalopathy,Disease,bc5cdr
cerebral vasospasm,Disease,bc5cdr
acute lymphoblastic leukemia,Disease,bc5cdr
all,Disease,bc5cdr
aphasia,Disease,bc5cdr
essential hypertension,Disease,bc5cdr
pb poisoning,Disease,bc5cdr
"impairments in learning , attention , inhibitory control , and arousal regulation",Disease,bc5cdr
cognitive and affective dysfunction,Disease,bc5cdr
cognitive deficits,Disease,bc5cdr
panic disorder,Disease,bc5cdr
panic attacks,Disease,bc5cdr
mdp,Disease,bc5cdr
mental disorders,Disease,bc5cdr
md,Disease,bc5cdr
panic attack,Disease,bc5cdr
failing left ventricle,Disease,bc5cdr
mr,Disease,bc5cdr
gtcs,Disease,bc5cdr
bronchiectasis,Disease,bc5cdr
secondary infection,Disease,bc5cdr
leukocytosis,Disease,bc5cdr
organic brain lesions,Disease,bc5cdr
uremic,Disease,bc5cdr
vocal cord paralysis,Disease,bc5cdr
vocal nerve palsies,Disease,bc5cdr
impaired fear recognition,Disease,bc5cdr
deficit in fear recognition,Disease,bc5cdr
psychopaths,Disease,bc5cdr
amygdala dysfunction,Disease,bc5cdr
damage of substantia nigra pars reticulata,Disease,bc5cdr
epileptic seizure,Disease,bc5cdr
prolonged status epilepticus,Disease,bc5cdr
metabolic derangement,Disease,bc5cdr
lesioned snr,Disease,bc5cdr
damage of snr,Disease,bc5cdr
neurotransmitter dysfunction,Disease,bc5cdr
cortical dysplasia,Disease,bc5cdr
corneal ulcers,Disease,bc5cdr
drug abuse,Disease,bc5cdr
ulcers,Disease,bc5cdr
epithelial defects,Disease,bc5cdr
post - herpetic neuralgia,Disease,bc5cdr
phn,Disease,bc5cdr
mastitis,Disease,bc5cdr
sensory disturbance,Disease,bc5cdr
acute tubulo - interstitial nephritis,Disease,bc5cdr
atin,Disease,bc5cdr
tubulo - interstitial injury,Disease,bc5cdr
staphylococcal endocarditis,Disease,bc5cdr
infective endocarditis,Disease,bc5cdr
ie,Disease,bc5cdr
staphylococcal infections,Disease,bc5cdr
staphylococcal ie,Disease,bc5cdr
chronic hepatitis b virus infection,Disease,bc5cdr
chronic hepatitis b,Disease,bc5cdr
postoperative pain,Disease,bc5cdr
urinary bladder inflammation,Disease,bc5cdr
bladder inflammation,Disease,bc5cdr
idiopathic epilepsy,Disease,bc5cdr
inappetence,Disease,bc5cdr
paranoid,Disease,bc5cdr
depressive and psychotic symptoms,Disease,bc5cdr
hiv - infected,Disease,bc5cdr
immune reconstitution syndrome,Disease,bc5cdr
sensory neurotoxicity,Disease,bc5cdr
sensory axonal neuropathy,Disease,bc5cdr
cutaneous lupus erythematosus,Disease,bc5cdr
cle,Disease,bc5cdr
paresthesias,Disease,bc5cdr
cramps,Disease,bc5cdr
encephalitis,Disease,bc5cdr
loiasis,Disease,bc5cdr
filariasis,Disease,bc5cdr
microfilaremia,Disease,bc5cdr
pulmonary mass,Disease,bc5cdr
lung mass,Disease,bc5cdr
hemosiderin,Disease,bc5cdr
hemosiderotic,Disease,bc5cdr
autoimmune diseases,Disease,bc5cdr
neoplasms,Disease,bc5cdr
pulmonary lesion,Disease,bc5cdr
neoplasm,Disease,bc5cdr
type 2 diabetes,Disease,bc5cdr
cad,Disease,bc5cdr
type 2 diabetic,Disease,bc5cdr
interstitial fibrosis,Disease,bc5cdr
uraemia,Disease,bc5cdr
focal segmental glomerulosclerosis,Disease,bc5cdr
myocardial infarctions,Disease,bc5cdr
glioblastoma multiforme,Disease,bc5cdr
gbm,Disease,bc5cdr
glioma,Disease,bc5cdr
lymphopenia,Disease,bc5cdr
primary hyperparathyroidism,Disease,bc5cdr
hypercalcemic,Disease,bc5cdr
nonalcoholic fatty liver disease,Disease,bc5cdr
nafld,Disease,bc5cdr
