term,annotation,df
ets binding sites,DNA,jnlpba
ebs,DNA,jnlpba
consensus gas motif,DNA,jnlpba
non-consensus gas motif,DNA,jnlpba
gata family proteins,protein,jnlpba
ets family protein,protein,jnlpba
human il-2r alpha promoter,DNA,jnlpba
complex upstream element,DNA,jnlpba
positive and negative regulatory factors,protein,jnlpba
genomic sterol regulatory sequence,DNA,jnlpba
human genomic sterol regulatory element,DNA,jnlpba
47 kda protein factor,protein,jnlpba
ldl receptor gene,DNA,jnlpba
beta subunit,protein,jnlpba
human proximal sequence element-binding transcription factor,protein,jnlpba
small nuclear rna genes,DNA,jnlpba
rna polymerases ii and iii,protein,jnlpba
proximal sequence element ( pse ) -binding transcription factor,protein,jnlpba
ptf,protein,jnlpba
pse,DNA,jnlpba
rna polymerase ii -and rna polymerase iii-transcribed mammalian small nuclear rna ( snrna ) genes,DNA,jnlpba
human ptf,protein,jnlpba
four subunits,protein,jnlpba
ptf gamma and delta subunits,protein,jnlpba
ptf beta,protein,jnlpba
anti-ptf beta antibodies,protein,jnlpba
ptf-oct-1-dna complex,protein,jnlpba
recombinant ptf beta,protein,jnlpba
snrna genes,DNA,jnlpba
tata-binding protein,protein,jnlpba
tfiiib90,protein,jnlpba
ptf gamma/ptf delta,protein,jnlpba
class iii snrna genes,DNA,jnlpba
tbp-containing complex,protein,jnlpba
tfiiib,protein,jnlpba
four-subunit ptf,protein,jnlpba
helix-loop-helix protein,protein,jnlpba
id-3,protein,jnlpba
helix-loop-helix proteins,protein,jnlpba
17 kda variant,protein,jnlpba
14 kda id-3,protein,jnlpba
id-3l,protein,jnlpba
60 amino acid carboxy-terminus,protein,jnlpba
coding intron,DNA,jnlpba
1.1 kb id-3l transcript,RNA,jnlpba
0.95 kb id-3 transcript,RNA,jnlpba
id-3l protein,protein,jnlpba
e box recognition sequence,DNA,jnlpba
hoci,protein,jnlpba
transcription factor nuclear factor-kappa b,protein,jnlpba
cultured human monocytes,cell_line,jnlpba
nf-kappab/rel family,protein,jnlpba
activated human monocytes,cell_type,jnlpba
tnfalpha,protein,jnlpba
endothelial leukocyte adhesion molecule-1,protein,jnlpba
vascular cell adhesion molecule-1 genes,DNA,jnlpba
human monocytic thp-1 cells,cell_line,jnlpba
pka,protein,jnlpba
multimerized kappab sites,DNA,jnlpba
monocytic ( u937 ),cell_line,jnlpba
bronchial epithelial ( h292 ) cell-line,cell_line,jnlpba
human icam-1 promoter,DNA,jnlpba
tumour necrosis factor-alpha,protein,jnlpba
nuclear factor ( nf-kappa b ) target sequence,DNA,jnlpba
glucocorticoid recognition sequences,DNA,jnlpba
multimerized nf-kappa b sequence,DNA,jnlpba
293 cells,cell_line,jnlpba
nuclear factor-kappa b factors,protein,jnlpba
"p16 , p15 and cdk4 genes",DNA,jnlpba
"p16 , p15 or cdk4 genes",DNA,jnlpba
p16,DNA,jnlpba
p15,DNA,jnlpba
p16,protein,jnlpba
p15,protein,jnlpba
cdk4,protein,jnlpba
poz/zinc-finger protein,protein,jnlpba
sequence-specific transcriptional repressor,protein,jnlpba
bcl-6 coding domain,DNA,jnlpba
95-kda protein,protein,jnlpba
c-terminal zinc-finger motifs,protein,jnlpba
n-terminal poz domain,protein,jnlpba
recombinant bcl-6,protein,jnlpba
dna target sequence,DNA,jnlpba
bcl6 molecule,protein,jnlpba
autonomous transrepressor domain,protein,jnlpba
noncontiguous regions,protein,jnlpba
poz motif,protein,jnlpba
bcl-6 protein,protein,jnlpba
neonatal than adult t lymphocytes,cell_type,jnlpba
human umbilical cord t lymphocytes,cell_type,jnlpba
consensus kappa b binding sequence,DNA,jnlpba
neonatal than adult t cells,cell_type,jnlpba
cd4+ t-cell subset,cell_type,jnlpba
p50 and rela ( p65 ) proteins,protein,jnlpba
neonatal and adult cells,cell_type,jnlpba
hgf,protein,jnlpba
hpcs,cell_type,jnlpba
early erythroid progenitors,cell_type,jnlpba
burst-forming units-erythroid,cell_type,jnlpba
hgfs,protein,jnlpba
fl monocytic progenitors,cell_type,jnlpba
colony-forming unit monocyte,cell_type,jnlpba
cfu-m,cell_type,jnlpba
purified fl hpcs,cell_line,jnlpba
unicellular and paired daughter cell culture,cell_line,jnlpba
granulocytic hpcs,cell_type,jnlpba
primitive hpcs,cell_type,jnlpba
high-proliferative potential colony-forming cells,cell_line,jnlpba
hpp-cfcs,cell_line,jnlpba
putative hematopoietic stem cells,cell_type,jnlpba
hscs,cell_type,jnlpba
hpp-cfc colonies,cell_line,jnlpba
hsc,cell_type,jnlpba
atra receptor ( rar ) gene,DNA,jnlpba
rar/rxr heterodimer,protein,jnlpba
hsc/ primitive hpc,cell_line,jnlpba
type i and type ii receptors,protein,jnlpba
human retinoic acid receptor alpha,protein,jnlpba
structural domains,protein,jnlpba
hrar alpha-lbd,protein,jnlpba
amino acids 154 to 462,protein,jnlpba
mutant proteins,protein,jnlpba
rar alpha-lbd,protein,jnlpba
il4 and il13 receptors,protein,jnlpba
gamma c chain,protein,jnlpba
"stat6 , stat3 and stat5 proteins",protein,jnlpba
il13,protein,jnlpba
il4r complex,protein,jnlpba
il4r alpha,protein,jnlpba
il2r gamma c,protein,jnlpba
il13r,protein,jnlpba
calcineurin mutants,protein,jnlpba
intracellular binding proteins,protein,jnlpba
cyclophilin a,protein,jnlpba
fkbp12,protein,jnlpba
"ca2+/calmodulin-regulated , serine/threonine-specific protein phosphatase",protein,jnlpba
t cell activation genes,DNA,jnlpba
cyclophilin a/csa or fkbp12/fk506 complexes,protein,jnlpba
csa-sensitive component,protein,jnlpba
immediate-early brlf1 protein,protein,jnlpba
viral immediate-early protein,protein,jnlpba
amino acid side chains,protein,jnlpba
primed ctl,cell_line,jnlpba
xpb helicase,protein,jnlpba
repair/transcription factor,protein,jnlpba
xpb,protein,jnlpba
xpb gene,DNA,jnlpba
tfiihmut,protein,jnlpba
tfiihwt,protein,jnlpba
dna-dependent atpase,protein,jnlpba
xpb protein,protein,jnlpba
basal transcription factor,protein,jnlpba
hematopoietic-specific transcription factors,protein,jnlpba
megakaryocytes,cell_type,jnlpba
immature erythroid cells,cell_type,jnlpba
mature erythrocytes,cell_type,jnlpba
putative pu.1 binding sites,DNA,jnlpba
spi-b binding site,DNA,jnlpba
immunoglobulin light-chain enhancer e lambda 2.4,DNA,jnlpba
pip,protein,jnlpba
pu.1-interaction partner,protein,jnlpba
nih-3t3 cells,cell_line,jnlpba
sp1- and ets-related transcription factors,protein,jnlpba
mouse perforin gene,DNA,jnlpba
dnase i hypersensitive site,DNA,jnlpba
dhs,DNA,jnlpba
perforin locus,DNA,jnlpba
5 ' upstream sequence,DNA,jnlpba
intron 2,DNA,jnlpba
5 ' upstream,DNA,jnlpba
intronic dhs,DNA,jnlpba
perforin-expressing lymphocytes,cell_type,jnlpba
5 ' upstream promoter,DNA,jnlpba
perforin-expressing cell lines,cell_line,jnlpba
pfp5a,DNA,jnlpba
-795 bp,DNA,jnlpba
pfp9a20,DNA,jnlpba
-73 bp,DNA,jnlpba
ctll-r8 cells,cell_line,jnlpba
proximal region,DNA,jnlpba
gt box,DNA,jnlpba
protein factors,protein,jnlpba
perforin gene,DNA,jnlpba
proximal gc box,DNA,jnlpba
perforin,protein,jnlpba
oct-2 transcription factor,protein,jnlpba
pou ( pit-oct-unc ) family,protein,jnlpba
neuronal cells,cell_type,jnlpba
primary rna transcript,RNA,jnlpba
herpes simplex virus immediate-early genes,DNA,jnlpba
cellular tyrosine hydroxylase gene,DNA,jnlpba
human tumor necrosis factor alpha gene,DNA,jnlpba
atf-2/jun,protein,jnlpba
human tumor necrosis factor alpha ( tnf-alpha ) gene,DNA,jnlpba
tnf-alpha gene,DNA,jnlpba
tnf-alpha promoter element kappa 3,DNA,jnlpba
cyclic amp response element ( cre ) site,DNA,jnlpba
murine b-cell lymphoma cell line,cell_line,jnlpba
a20,cell_line,jnlpba
a20 b cells,cell_line,jnlpba
composite kappa 3/cre site,DNA,jnlpba
nfat site,DNA,jnlpba
-76 nucleotides,DNA,jnlpba
tnf-alpha transcription start site,DNA,jnlpba
ar-5 cells,cell_line,jnlpba
tnf-alpha promoter,DNA,jnlpba
-76 site,DNA,jnlpba
kappa 3 site,DNA,jnlpba
stat 5b,protein,jnlpba
erbb,protein,jnlpba
receptor tyrosine kinase,protein,jnlpba
c-erbb,protein,jnlpba
c-kit/epo-r,protein,jnlpba
stat transcription factor family,protein,jnlpba
erythroblasts,cell_type,jnlpba
erythropoietin receptor,protein,jnlpba
junb,protein,jnlpba
anergic t helper 1 cells,cell_line,jnlpba
anergic cd4+ th cells,cell_line,jnlpba
ag-pulsed accessory cells,cell_line,jnlpba
anergic t cells,cell_line,jnlpba
il-2 dna enhancer elements,DNA,jnlpba
"heterotrimeric nfatp , fos , and jun protein complex",protein,jnlpba
fos and jun heterodimers,protein,jnlpba
normal,cell_type,jnlpba
ap-1 fos and jun family members,protein,jnlpba
b-cell-specific coactivator,protein,jnlpba
oca-b,protein,jnlpba
pou domain,DNA,jnlpba
bob-1,protein,jnlpba
prototype octamer element,DNA,jnlpba
fifth position,DNA,jnlpba
amino-terminal fragment,protein,jnlpba
dna sequences,DNA,jnlpba
octamer sites,DNA,jnlpba
x,DNA,jnlpba
alpha-galactosidase a gene,DNA,jnlpba
alpha-galactosidase a,protein,jnlpba
alpha-galactosidase,protein,jnlpba
blood leucocytes,cell_type,jnlpba
epstein-barr virus transformed lymphoid cell lines,cell_line,jnlpba
position 10182 of exon 5,DNA,jnlpba
codon 231,DNA,jnlpba
maternally derived x chromosome,DNA,jnlpba
paternal x chromosome,DNA,jnlpba
alignment of sites,DNA,jnlpba
mu enhancer,DNA,jnlpba
lymphocyte-specific immunoglobulin mu heavy-chain gene intronic enhancer,DNA,jnlpba
minimal enhancer,DNA,jnlpba
"mua , mue3 , and mub sites",DNA,jnlpba
ets-domain proteins,protein,jnlpba
mua and mub sites,DNA,jnlpba
mutated enhancers,DNA,jnlpba
mue3,DNA,jnlpba
mub,DNA,jnlpba
s194 plasma cells,cell_line,jnlpba
mue3-binding protein,protein,jnlpba
tfe3,protein,jnlpba
mu enhancer dna,DNA,jnlpba
mua and mub elements,DNA,jnlpba
activated eosinophils,cell_type,jnlpba
degranulated mast cells,cell_type,jnlpba
th2 subset,cell_type,jnlpba
nuclear factor of activated t cells-1,protein,jnlpba
nuclear factor of activated t cells-family proteins,protein,jnlpba
nfat1/nfatp,protein,jnlpba
nfat3,protein,jnlpba
nfat4/nfatx/nfatc3,protein,jnlpba
transactivation domains,DNA,jnlpba
nfat-family proteins,protein,jnlpba
dna-binding domain,DNA,jnlpba
nh2-terminal transactivation domain,protein,jnlpba
regulatory region,protein,jnlpba
conserved sequence motifs,DNA,jnlpba
activator protein ( ap ) -1,protein,jnlpba
acidic sphingomyelinase,protein,jnlpba
human t cell blasts,cell_type,jnlpba
b7-transfected cho cells,cell_line,jnlpba
nuclear factor-kappab ( nf-kappab ) complexes,protein,jnlpba
class ii mhc/superantigen,protein,jnlpba
intracellular receptor,protein,jnlpba
full length wild-type form,protein,jnlpba
exon v,DNA,jnlpba
wild-type or the truncated er,protein,jnlpba
sialoadhesin,protein,jnlpba
rat macrophages,cell_type,jnlpba
macrophage-restricted member,protein,jnlpba
ig superfamily,protein,jnlpba
rat macrophage cell line r2,cell_line,jnlpba
human rbcs,cell_type,jnlpba
mineralocorticoid receptor,protein,jnlpba
t cell-derived cytokines,protein,jnlpba
human immunodeficiency virus type 1 ( hiv ) protease,protein,jnlpba
viral structural proteins,protein,jnlpba
cellular factor,protein,jnlpba
bcl-2 muteins,protein,jnlpba
noncleavable alterations,protein,jnlpba
hiv protease cleavage site,protein,jnlpba
alpha 4 beta 1 ( cd49d/cd29 ) integrin,protein,jnlpba
integrin alpha 4 beta 1,protein,jnlpba
peripheral blood t cells,cell_type,jnlpba
recombinant vascular-cell adhesion molecule-1,protein,jnlpba
alpha 4 beta 1,protein,jnlpba
granulocyte macrophage-csf,protein,jnlpba
freshly isolated t cells,cell_type,jnlpba
vitro-cultured t cells,cell_line,jnlpba
freshly isolated,cell_type,jnlpba
extracellular signal-related kinase,protein,jnlpba
c-jun n-terminal kinase,protein,jnlpba
co-receptor molecule,protein,jnlpba
adenylate cyclase,protein,jnlpba
camp-dependent protein kinase a,protein,jnlpba
extracellular signal-regulated kinase,protein,jnlpba
pkc-depleted t cells,cell_line,jnlpba
cd28 co-receptor molecules,protein,jnlpba
human erythroleukemic cells,cell_type,jnlpba
human leukemic cell line k562,cell_line,jnlpba
gamma-globin and porphobilinogen deaminase,protein,jnlpba
pbgd,protein,jnlpba
erythroid genes,DNA,jnlpba
dox-treated cells,cell_line,jnlpba
pbgd and gata-1 mrnas,RNA,jnlpba
erythroid mrna,RNA,jnlpba
anthracycline-treated cells,cell_type,jnlpba
acla-treated cells,cell_line,jnlpba
dox-treated cells,cell_type,jnlpba
acla-treated but not in dox-treated cells,cell_line,jnlpba
human b cell precursor acute lymphoblastic leukemia cells,cell_line,jnlpba
murine baf3 cells,cell_line,jnlpba
interleukin-7 receptor alpha chain,protein,jnlpba
normal and leukemic b and t cell precursors and t lymphocytes,cell_type,jnlpba
stat complexes,protein,jnlpba
b cell precursor acute lymphoblastic leukemia ( bcp-all ) cells,cell_line,jnlpba
bcp-all cells,cell_line,jnlpba
stat5 complexes,protein,jnlpba
il-7 receptor alpha chain,protein,jnlpba
il-7r alpha,protein,jnlpba
murine pro-b cell line baf3,cell_line,jnlpba
chimeric receptors,protein,jnlpba
human granulocyte colony-stimulating factor receptor,protein,jnlpba
g-csf-r,protein,jnlpba
transmembrane and intracellular domains,protein,jnlpba
human il-7r alpha,protein,jnlpba
chimeric g-csf-r/il-7r alpha,protein,jnlpba
g-csf-r/il-7r alpha,protein,jnlpba
stat3-containing complexes,protein,jnlpba
precursor b cells,cell_type,jnlpba
il-7r alpha chains,protein,jnlpba
jaks,protein,jnlpba
hepatitis b virus genome,DNA,jnlpba
sp ii promoter,DNA,jnlpba
hbv mrna,RNA,jnlpba
x gene,DNA,jnlpba
"t and , to a lesser extent , b cells",cell_type,jnlpba
t and b cell co-cultures,cell_line,jnlpba
cd40 antigen,protein,jnlpba
cd40 cells,cell_line,jnlpba
resting b-cell preparation,cell_line,jnlpba
activation protein 1,protein,jnlpba
interleukin 2 gene,DNA,jnlpba
ca2+/calmodulin kinase type iv/gr,protein,jnlpba
ca2+/calmodulin-dependent protein kinase ( camk ) type iv/gr,protein,jnlpba
camkiv/gr,protein,jnlpba
transcription factor activation protein 1,protein,jnlpba
p21ras oncoprotein,protein,jnlpba
camkiv/ gr,protein,jnlpba
nuclear factor of activated t cells ( nfat ) transcriptional complex,protein,jnlpba
nfat sites,DNA,jnlpba
nk and t cells,cell_type,jnlpba
immediate-early activation gene,DNA,jnlpba
genes,protein,jnlpba
il-2 -but not il-12-stimulated nk cells,cell_type,jnlpba
t and nk cells,cell_type,jnlpba
mrna-encoding members,protein,jnlpba
ap-1 transcription factor family,protein,jnlpba
jund,DNA,jnlpba
il-2-stimulated cells,cell_line,jnlpba
immediate-early activation genes family,DNA,jnlpba
il-2- and il-12-stimulated cells,cell_line,jnlpba
class ii transactivator-encoding air-1 locus,DNA,jnlpba
major histocompatibility complex class ii gene,DNA,jnlpba
major histocompatibility complex ( mhc ) class ii gene,DNA,jnlpba
plasma cell,cell_type,jnlpba
class ii molecules,protein,jnlpba
sir,DNA,jnlpba
suppressor of immune response genes,DNA,jnlpba
air-1 gene,DNA,jnlpba
class ii transactivator,protein,jnlpba
plasmacytoma x b cell hybrids,cell_line,jnlpba
air-1 locus,DNA,jnlpba
ciita-expressing cells,cell_line,jnlpba
ciita-specific transcripts,RNA,jnlpba
human ciita coding sequence,DNA,jnlpba
mouse mhc class ii genes,DNA,jnlpba
mouse plasmacytoma cell line,cell_line,jnlpba
air-1 gene product,protein,jnlpba
ciita-transfected cell hybrids,cell_line,jnlpba
human hla-dq heterodimer,protein,jnlpba
ciita-transfected hybrids,cell_line,jnlpba
human hla-dq class ii subset,DNA,jnlpba
normal human b lymphocytes,cell_type,jnlpba
vitamin d receptors,protein,jnlpba
vitamin d-responsive element ( vdre ) -reactive nuclear protein complexes,protein,jnlpba
25-hydroxyvitamin d3 24-hydroxylase,protein,jnlpba
cd40 ag,protein,jnlpba
ig receptor,protein,jnlpba
vdre binding complexes,protein,jnlpba
bcl-2-deficient t cells,cell_line,jnlpba
cyclin-dependent kinase,protein,jnlpba
human t-cell lymphotropic virus type 1 tax transactivator,protein,jnlpba
transcription factor iia,protein,jnlpba
40-kda transcriptional activator,protein,jnlpba
site-specific activators,protein,jnlpba
cyclic amp-responsive element-binding protein,protein,jnlpba
tfiia,protein,jnlpba
35-kda ( alpha ) subunit,protein,jnlpba
mutants,protein,jnlpba
m32,protein,jnlpba
m41,protein,jnlpba
gst,protein,jnlpba
gst-tax,protein,jnlpba
gst-tax m32 activation mutant,protein,jnlpba
htlv-1-infected human t lymphocytes,cell_line,jnlpba
tfiia expression vectors,DNA,jnlpba
htlv-1 long terminal repeat-chloramphenicol acetyltransferase reporter construct,DNA,jnlpba
mononuclear cell cultures,cell_line,jnlpba
signal transducer and activator of transcription ( stat ) family,protein,jnlpba
pha-activated mononuclear cells,cell_line,jnlpba
purified t cells,cell_line,jnlpba
cell surface cd3,protein,jnlpba
il-2 receptor components,protein,jnlpba
il-4 receptor alpha-chain,protein,jnlpba
activator protein 1 transcription factors,protein,jnlpba
janus kinase,protein,jnlpba
u937 human monoblastic cells,cell_line,jnlpba
interleukin-10,protein,jnlpba
lps-induced il-6 mrna,RNA,jnlpba
lps-induced ap-1,protein,jnlpba
i-kappa b mrna,RNA,jnlpba
core-binding factor,protein,jnlpba
human gm-csf promoter and enhancer,DNA,jnlpba
cbf sites,DNA,jnlpba
essential core regions,DNA,jnlpba
closely linked binding sites,DNA,jnlpba
gm-csf promoter cbf site,DNA,jnlpba
51 bp upstream,DNA,jnlpba
yy-1 binding site,DNA,jnlpba
2-bp mutation,DNA,jnlpba
69-bp proximal promoter fragment,DNA,jnlpba
627-bp full-length promoter fragment,DNA,jnlpba
yy-1 site,DNA,jnlpba
aml1 and cbf beta genes,DNA,jnlpba
hemopoietic cells,cell_type,jnlpba
gm-csf locus,DNA,jnlpba
c-fos/c-jun,protein,jnlpba
proximal jun1 tumor promoter-responsive element ( tre ) -like promoter element,DNA,jnlpba
consensus ap-1 tre,DNA,jnlpba
jun tre-like motifs,DNA,jnlpba
"ap-1-tre , nf-at , and il-2 promoter regions",DNA,jnlpba
il-2 reporters,DNA,jnlpba
nfat complexes,protein,jnlpba
nf-at complexes,protein,jnlpba
primary human cd4+ t lymphocytes,cell_type,jnlpba
p65 : p50 heterodimer,protein,jnlpba
primary cd4+ t cells,cell_line,jnlpba
nf-kappa b dependent reporter gene construct,DNA,jnlpba
cd40-activated human b lymphocytes,cell_line,jnlpba
human epstein-barr virus-negative b lymphocytes,cell_line,jnlpba
signal transduction elements,DNA,jnlpba
ptk,protein,jnlpba
human immunodeficiency virus-1 long terminal repeat,DNA,jnlpba
nf- kappa b,protein,jnlpba
kappa light chain,protein,jnlpba
cd40-stimulated b cells,cell_type,jnlpba
retinoic-acid receptors type alpha,protein,jnlpba
acute promyelocytic leukemia cells,cell_type,jnlpba
acute promyelocytic ( apl ) cell line,cell_line,jnlpba
ifn ( alpha ),protein,jnlpba
ifn ( beta ) and gamma,protein,jnlpba
retinoic-acid receptor type alpha,protein,jnlpba
rar ( alpha ),protein,jnlpba
leukemia-specific retinoic acid receptor,protein,jnlpba
pml-rar,protein,jnlpba
rar ( alpha ) and pml-rar mrnas,RNA,jnlpba
retinoid-dependent granulocytic markers,protein,jnlpba
granulocyte-colony-stimulating factor receptor mrna,RNA,jnlpba
leukocyte alkaline phosphatase,protein,jnlpba
myeloid surface markers,protein,jnlpba
cd33,protein,jnlpba
pml-rar positive cells,cell_line,jnlpba
hl-60 promyelocytes,cell_line,jnlpba
interleukin-12,protein,jnlpba
uncommitted t helper ( th ) cells,cell_type,jnlpba
beta-adrenergic receptor,protein,jnlpba
th2 cytokine,protein,jnlpba
treponema pallidum and borrelia burgdorferi lipoproteins,protein,jnlpba
lipoproteins,protein,jnlpba
purified native b. burgdorferi ospa,protein,jnlpba
ospa,protein,jnlpba
ospb,protein,jnlpba
t. pallidum lipoproteins,protein,jnlpba
tpp47,protein,jnlpba
tpp17,protein,jnlpba
thp-1 human monocytoid cells,cell_type,jnlpba
70z/3-derived pre-b-cell lines,cell_line,jnlpba
lps receptor,protein,jnlpba
spirochetal lipopeptides,protein,jnlpba
surface immunoglobulin m,protein,jnlpba
spirochetal lipoproteins,protein,jnlpba
lysp100,protein,jnlpba
retinoic acid receptor alpha ( rar alpha ) gene,DNA,jnlpba
pml-rar alpha fusion oncoprotein,protein,jnlpba
pml gene product,protein,jnlpba
subnuclear dot-like structures,cell_line,jnlpba
lymphoid-restricted gene,DNA,jnlpba
lysp100,DNA,jnlpba
sp100 homology regions,DNA,jnlpba
lysp100 cdna isoform,DNA,jnlpba
phd/ttc domain,protein,jnlpba
lysp100 cdna,DNA,jnlpba
murine thymoma cells,cell_type,jnlpba
glucocorticoid receptor ( gr ) n-terminal domain,protein,jnlpba
gr n-terminal transactivation domain,protein,jnlpba
gr variants,protein,jnlpba
ar,protein,jnlpba
receptor-negative s49 murine thymoma cells,cell_line,jnlpba
mouse mammary tumor virus ( mmtv ) ltr reporter gene,DNA,jnlpba
gr chimeric receptors,protein,jnlpba
vp16 and e1a viral transactivation domains,DNA,jnlpba
gr n terminus,protein,jnlpba
s49 cells,cell_line,jnlpba
/calcineurin,protein,jnlpba
dominant negative mapkk-1,protein,jnlpba
mapkk-1,protein,jnlpba
elk-1,protein,jnlpba
dominant negative n17rac,protein,jnlpba
nfat binding site,DNA,jnlpba
ap-1 family proteins,protein,jnlpba
rac-1,protein,jnlpba
activated rac-1,protein,jnlpba
activated p21ras,protein,jnlpba
/erk-2,protein,jnlpba
fusion gene,DNA,jnlpba
raralpha,protein,jnlpba
novel gene pml,DNA,jnlpba
primary nk cells,cell_type,jnlpba
signal transducer and activator of transcription-3,protein,jnlpba
ifn-gamma-activated sequence-binding complexes,protein,jnlpba
preactivated primary nk cells,cell_line,jnlpba
c-fos promoter sis-inducible element ifn-gamma-activated sequence-binding complexes,protein,jnlpba
c-fos promoter sis-inducible element probe,DNA,jnlpba
preactivated primary nk and nk3.3 cells,cell_line,jnlpba
nf ( kappa ) b,protein,jnlpba
purified cd4+ or cd8+ t cells,cell_type,jnlpba
coactivator,protein,jnlpba
inf-gamma,protein,jnlpba
cd4+ or cd8+ cells,cell_type,jnlpba
unsuppressed t cells,cell_type,jnlpba
i ( kappa ) b proteases,protein,jnlpba
interleukin-2 ( il-2 ) receptor common gamma chain,protein,jnlpba
monoctyes,cell_type,jnlpba
shared receptor subunit gamma c,protein,jnlpba
transcription factor family,protein,jnlpba
interleukin-6 gene,DNA,jnlpba
cmv immediate early 1 gene product,protein,jnlpba
endogenous vitamin d3 receptor,protein,jnlpba
retinoid x receptors,protein,jnlpba
ra and vitd3 receptor network,protein,jnlpba
endogenous ra and vitd3 receptors,protein,jnlpba
rxrs,protein,jnlpba
vitd3 receptor,protein,jnlpba
u-937 cell line,cell_line,jnlpba
vdr/rxr dna-binding complexes,protein,jnlpba
vitd3 response elements,DNA,jnlpba
ra response elements,DNA,jnlpba
rares,DNA,jnlpba
vitd3 response element-driven reporter construct,DNA,jnlpba
undifferentiated cells,cell_type,jnlpba
/rxr,protein,jnlpba
rare,DNA,jnlpba
rar-beta,protein,jnlpba
rar beta/rxr heterodimers,protein,jnlpba
cd49f,protein,jnlpba
u-937 cell,cell_line,jnlpba
human t-cell leukemia virus type 1 posttranscriptional trans-activator,protein,jnlpba
nuclear export signal,protein,jnlpba
rex protein,protein,jnlpba
unspliced viral mrna,RNA,jnlpba
rex-viral mrna complexes,protein,jnlpba
94-kd stat5a,protein,jnlpba
80-kd stat5a isoform,protein,jnlpba
stat5a,protein,jnlpba
stat5b,protein,jnlpba
stat5 homologues,protein,jnlpba
stat5 isoforms,protein,jnlpba
80-kd stat5a molecule,protein,jnlpba
gamma response region,DNA,jnlpba
grr,DNA,jnlpba
fc gamma ri gene,DNA,jnlpba
grr element,DNA,jnlpba
80-kd stat5a protein,protein,jnlpba
stat5a-stat5a homodimers,protein,jnlpba
stat5a-stat5b heterodimers,protein,jnlpba
translocation ( 3 ; 14 ) ( q27 ; q11 ),DNA,jnlpba
bcl6,DNA,jnlpba
t ( 3 ; 14 ) ( q27 ; q11 ),DNA,jnlpba
affected cells,cell_type,jnlpba
lymphoma cells,cell_type,jnlpba
t ( 3 ; 14 ) ( q27 ; q32 ),DNA,jnlpba
jh,DNA,jnlpba
tcr delta,DNA,jnlpba
cosmid probe,DNA,jnlpba
band 14q11,DNA,jnlpba
t-cell receptor alpha- and delta-chains,protein,jnlpba
tcr alpha/delta,protein,jnlpba
"b-cell , iggk phenotype",cell_type,jnlpba
novel proto-oncogene,DNA,jnlpba
tcr alpha/delta,DNA,jnlpba
pml/raralpha,protein,jnlpba
promyelocytic leukemia gene,DNA,jnlpba
pml,DNA,jnlpba
chromosome 15,DNA,jnlpba
retinoic acid receptor alpha,DNA,jnlpba
chromosome 17,DNA,jnlpba
pml/raralpha cdna,DNA,jnlpba
cd11b+ bone marrow cells,cell_type,jnlpba
cd11b+ populations,cell_type,jnlpba
myeloid progenitors,cell_type,jnlpba
granulocyte/ macrophage colony-stimulating factor,protein,jnlpba
c/ebp activators,protein,jnlpba
c/ebp transcriptional activators,protein,jnlpba
c/ebp protein lip,protein,jnlpba
activated u1 cells,cell_line,jnlpba
u1 lines,cell_line,jnlpba
c/ebp activator,protein,jnlpba
nf-il-6,protein,jnlpba
viral mrna,RNA,jnlpba
control lines,cell_line,jnlpba
ebv latent genes,DNA,jnlpba
resting human b cells,cell_type,jnlpba
ebv nuclear antigen 2,protein,jnlpba
adjacent promoter elements,DNA,jnlpba
transcription start,DNA,jnlpba
ap-1 and elf-1 sites,DNA,jnlpba
promoter sites,DNA,jnlpba
il-3 promoter constructs,DNA,jnlpba
luciferase gene,DNA,jnlpba
core binding factor ( cbf ) site,DNA,jnlpba
cbf site,DNA,jnlpba
adjacent activator site act-1,DNA,jnlpba
act-1,DNA,jnlpba
functional unit,DNA,jnlpba
ac unit,DNA,jnlpba
nip repressor site,DNA,jnlpba
second repressor region,DNA,jnlpba
tissue-specific element,DNA,jnlpba
interacting elements,DNA,jnlpba
ifn-gamma receptor beta-chain,protein,jnlpba
human peripheral blood t cells,cell_type,jnlpba
ifn- gamma,protein,jnlpba
ag,protein,jnlpba
stat1 ( alpha ),protein,jnlpba
beta- chain,protein,jnlpba
ifn-gamma receptor,protein,jnlpba
ifn-gamma receptor alpha-chain,protein,jnlpba
beta-chain,protein,jnlpba
nuclear transcriptional factors,protein,jnlpba
stimulated t cells,cell_type,jnlpba
jak2 janus kinase,protein,jnlpba
human colon carcinoma cell lines,cell_line,jnlpba
il-13r,protein,jnlpba
ht-29,cell_line,jnlpba
widr,cell_line,jnlpba
janus family of kinases,protein,jnlpba
insulin response substrate-1,protein,jnlpba
il-4r p140,protein,jnlpba
jak3 kinase,protein,jnlpba
colon cancer cell lines,cell_line,jnlpba
125i-il-13,protein,jnlpba
125i-il-4,protein,jnlpba
colon cancer cells,cell_type,jnlpba
human monocytic cell lines,cell_line,jnlpba
chloramphenicol acetyltransferase reporter plasmid,DNA,jnlpba
il-6 gene promoter,DNA,jnlpba
ca2+/calmodulin-dependent serine-threonine phosphatase,protein,jnlpba
drug-immunophilin complex,protein,jnlpba
csa-treated cells,cell_line,jnlpba
il-2 promoter-beta-galactosidase reporter gene constructs,DNA,jnlpba
csa-resistant nfat complex,protein,jnlpba
