term,annotation,df
algorithms for automatic generation of logic reasoning questions.,Task,scienceie
verbal questions,Material,scienceie
anodizing processes,Process,scienceie
protecting aluminium alloys,Task,scienceie
extend from the film surface,Process,scienceie
growth stopped in the early stages of anodizing,Process,scienceie
ionic migration,Task,scienceie
outward migrating al3+ ions,Material,scienceie
ejected,Process,scienceie
growth of the barrier layer by continued oxidation,Process,scienceie
thinning of the barrier layer by either field-assisted dissolution,Process,scienceie
field-assisted flow of alumina,Process,scienceie
chemical dissolution,Process,scienceie
corrosion,Process,scienceie
resultant films,Material,scienceie
amorphous alumina,Material,scienceie
major pores,Material,scienceie
barrier layer,Material,scienceie
incipient pores,Material,scienceie
anodizing,Process,scienceie
anodic alumina films,Material,scienceie
o2− ions,Material,scienceie
porous films,Material,scienceie
ionic current,Material,scienceie
electrolyte,Material,scienceie
pore bases,Material,scienceie
aluminium substrate,Material,scienceie
oxidation,Material,scienceie
pore walls,Material,scienceie
pores,Material,scienceie
barrier region,Material,scienceie
polymers,Material,scienceie
synthesized in the liquid phase,Process,scienceie
swnts,Material,scienceie
produced through a variety of synthesis techniques,Process,scienceie
the reaction of a gaseous carbon feedstock to form the nanotubes on catalyst particles,Process,scienceie
observed in arc discharge fullerene reactors,Process,scienceie
mwnts,Task,scienceie
this technique,Task,scienceie
metal catalyst particles,Material,scienceie
the fullerene production method of laser ablation,Process,scienceie
chemical vapor deposition,Process,scienceie
mwnts,Material,scienceie
the reaction of a gaseous carbon compound as feedstock,Process,scienceie
fluidized bed,Process,scienceie
“carpet” growth of carbon nanotubes (cnts) from catalyst particles embedded in a substrate,Process,scienceie
“catalytic gas flow cvd”,Process,scienceie
"the most effective, cheap, and scalable cvd techniques",Task,scienceie
hipco (high-pressure co) process,Process,scienceie
does not use pre-formed catalyst particles,Process,scienceie
cvd techniques,Process,scienceie
cvd,Process,scienceie
carbon nanotubes,Material,scienceie
cnts,Material,scienceie
hidden nodes,Material,scienceie
generalization of elm,Task,scienceie
time consumption,Process,scienceie
trial-and-error,Process,scienceie
novel algorithm is proposed,Task,scienceie
optimize the hidden node number,Task,scienceie
hidden node,Material,scienceie
generalization,Process,scienceie
optimization process,Process,scienceie
structural risk minimization principle,Process,scienceie
novel algorithm,Process,scienceie
accuracy comparisons,Process,scienceie
obtain the optimal number of hidden nodes,Process,scienceie
pso,Process,scienceie
6 datasets,Material,scienceie
elm,Process,scienceie
molecular models,Process,scienceie
trapped in the bulk and at surfaces of silica,Process,scienceie
electron trapping centres,Material,scienceie
spontaneously trap,Process,scienceie
identifying defect centres,Task,scienceie
silica,Material,scienceie
bulk,Material,scienceie
si–o bonds,Material,scienceie
a-sio2 leading,Material,scienceie
weakening,Process,scienceie
trapped,Process,scienceie
si–o bond dissociation,Process,scienceie
si–o bond,Material,scienceie
non-defective continuum random network model,Process,scienceie
a-sio2,Material,scienceie
neutral paramagnetic defects,Process,scienceie
non-bridging oxygen centre,Material,scienceie
silicon dangling bond,Material,scienceie
deep electron traps,Material,scienceie
negatively charged defects,Material,scienceie
surfaces of a-sio2,Material,scienceie
em sensors,Material,scienceie
relative permeability,Task,scienceie
difference in magnetic properties,Task,scienceie
electrical conductivity,Task,scienceie
microstructural phase balances,Task,scienceie
ferromagnetic steels,Material,scienceie
multi-frequency em sensors,Material,scienceie
stainless steel powder,Material,scienceie
difference in magnetic properties,Process,scienceie
ferrite,Process,scienceie
ferromagnetic,Process,scienceie
austenite,Process,scienceie
paramagnetic,Process,scienceie
decarburisation,Task,scienceie
variation in ferrite content with depth,Task,scienceie
steel rod,Material,scienceie
steel,Material,scienceie
em sensor signal,Process,scienceie
finite element,Process,scienceie
em properties of the individual phases,Process,scienceie
overall em properties,Process,scienceie
particular sensor geometry,Process,scienceie
external circuits,Material,scienceie
tubular sensor,Material,scienceie
cylindrical sample,Material,scienceie
microstructures,Material,scienceie
sensor,Material,scienceie
em sensor,Material,scienceie
formation energy,Task,scienceie
monte carlo algorithm,Process,scienceie
metropolis mc scheme,Process,scienceie
conjugate gradient algorithm,Process,scienceie
minimised,Process,scienceie
iterative process,Process,scienceie
box,Material,scienceie
fe lattice,Material,scienceie
voids without helium,Material,scienceie
simulation cell,Material,scienceie
total system energy,Material,scienceie
helium atoms,Material,scienceie
low energy configurations,Material,scienceie
single vacancy formation energy,Material,scienceie
evac,Material,scienceie
determine the lowest energy configuration,Process,scienceie
he–he interactions,Process,scienceie
he,Material,scienceie
the search for the higgs boson,Task,scienceie
tevatron,Material,scienceie
large hadron collider,Material,scienceie
(lhc),Material,scienceie
span all the higgs mass regions up to 1 tev,Process,scienceie
hadron colliders,Material,scienceie
main higgs production mechanism,Task,scienceie
gluon fusion,Process,scienceie
put limits on the higgs mass,Process,scienceie
hadron collider,Material,scienceie
part of the mass range favored by the lep results,Process,scienceie
access part of the mass range favored by the lep results,Task,scienceie
intermediate higgs mass region,Process,scienceie
rare decay,Process,scienceie
decay channels,Process,scienceie
put a firm lower bound on the higgs mass,Process,scienceie
mh>114 gev,Process,scienceie
higgs boson,Material,scienceie
standard model,Process,scienceie
sm,Process,scienceie
sm,Material,scienceie
higgs,Material,scienceie
114≲mh≲160 gev,Process,scienceie
sld,Material,scienceie
higgs mass,Material,scienceie
higgs production mechanism,Process,scienceie
compare the measured cross section with the sm result,Process,scienceie
higgs decay,Process,scienceie
qcd background,Material,scienceie
h→γγ,Process,scienceie
observed dynamics,Process,scienceie
probe laser,Process,scienceie
further ionization,Process,scienceie
reactions,Task,scienceie
two-step decay model,Process,scienceie
fragmentation of dcpd to cpd,Process,scienceie
rise and decay components,Material,scienceie
matlab® programming,Process,scienceie
curve fitting levenberg–marquardt algorithm,Process,scienceie
best fit decay constants,Process,scienceie
biexponential decay components,Material,scienceie
c10h12+ ion signal,Material,scienceie
τ1=35fs,Process,scienceie
τ2=240fs,Process,scienceie
c5h6+ ion signal,Material,scienceie
τ1=36fs,Process,scienceie
photochemical reaction of dcpd,Process,scienceie
controlling the product yield of c5h6+,Process,scienceie
applying laser control principles,Process,scienceie
laser control principles,Task,scienceie
parent ion fragmentation,Process,scienceie
distinct dynamics of the neutrals,Task,scienceie
parent ion fragmentation,Task,scienceie
norbornene,Material,scienceie
norbornadiene,Material,scienceie
decay constants,Task,scienceie
parent ion,Material,scienceie
dcpd,Material,scienceie
cpd,Material,scienceie
τ2=280fs,Process,scienceie
transients,Material,scienceie
c10h12+,Material,scienceie
c5h6+,Material,scienceie
"detecting the location of, say, one missing level on an otherwise complete sequence",Task,scienceie
information theory concepts,Process,scienceie
correlations in a sequence,Process,scienceie
error correcting codes can be constructed,Task,scienceie
detecting one missing level,Task,scienceie
no correlations and therefore no redundancy are present,Process,scienceie
poissonian sequence,Process,scienceie
sequence of equally spaced levels,Task,scienceie
picket fence,Task,scienceie
missed level can be obviously detected as a hole in the spectrum,Task,scienceie
locate in the last case a single missed level,Task,scienceie
approximately locate,Task,scienceie
a single missed level,Task,scienceie
study of spectral fluctuations,Process,scienceie
two-dimensional chaotic systems,Task,scienceie
weyl's law describing the average spectral density,Process,scienceie
observed conductivity,Task,scienceie
a2femoo6–δ,Material,scienceie
fe3+-o-mo-o-fe2+,Material,scienceie
double exchange mechanism,Process,scienceie
double-exchange mechanisms,Process,scienceie
electron transfer,Process,scienceie
electron,Material,scienceie
mo,Material,scienceie
fe,Material,scienceie
replacement,Process,scienceie
reduction of the conductivity,Process,scienceie
percolation pathways,Task,scienceie
delocalisation of fe electrons,Process,scienceie
fe electrons,Material,scienceie
fe2+-o-fe3+,Material,scienceie
fe2+-o-fe3+ exchange,Process,scienceie
double exchange mechanisms,Process,scienceie
iron in iron oxides,Material,scienceie
iron,Material,scienceie
ca2–xsrxfemoo6–δ,Material,scienceie
metallic conductivity,Task,scienceie
band structure calculations,Process,scienceie
mossbauer spectroscopy,Process,scienceie
conduction mechanism,Task,scienceie
compounds,Material,scienceie
ca,Material,scienceie
sr,Material,scienceie
ba,Material,scienceie
reduction of the available percolation pathways,Process,scienceie
calibration process,Process,scienceie
inverse modelling,Task,scienceie
experimental data,Material,scienceie
optimization routine,Process,scienceie
pyrolysis behaviour,Task,scienceie
multivariable curve fitting,Task,scienceie
model calibration,Process,scienceie
mass loss rate,Process,scienceie
surface temperature [,Process,scienceie
optimization technique,Process,scienceie
potentiometers,Process,scienceie
parameters,Process,scienceie
kinetics parameters,Process,scienceie
mathematical procedures,Process,scienceie
genetic algorithm,Process,scienceie
ga,Process,scienceie
shuffled complex evolution,Process,scienceie
sce,Process,scienceie
choice of algorithm,Process,scienceie
gpyro,Material,scienceie
synthetic data,Material,scienceie
algorithms,Process,scienceie
optimization algorithms,Process,scienceie
quantify the best set of parameters,Task,scienceie
modeling collaboration processes,Task,scienceie
human collaboration,Process,scienceie
evolution of a network of collaborative documents along with a social network of collaborators,Process,scienceie
modeling approach,Process,scienceie
graphical notation and formalization,Process,scienceie
influence of complex social structures,Process,scienceie
discovery of socially coherent teams,Task,scienceie
collaboration processes,Process,scienceie
quantum field treatment,Task,scienceie
quantized treatment,Task,scienceie
superconducting resonant circuit,Material,scienceie
vacuum state,Material,scienceie
vacuum,Material,scienceie
magnetic field,Material,scienceie
properly shaped coil,Material,scienceie
casimir forces or lamb shift,Process,scienceie
particle's plane wave,Material,scienceie
explaining the optical and electronic properties of sio2 in the presence of e′ centres,Task,scienceie
trapping of positive charge in thin layers of a-sio2 grown on silicon surfaces,Process,scienceie
paramagnetic e′ centre signals,Material,scienceie
e′ centres in α-quartz,Material,scienceie
identification of the paramagnetic e′ centre in sio2,Process,scienceie
paramagnetic e′ centre,Material,scienceie
sio2,Material,scienceie
unpaired electron,Material,scienceie
sp3 hybrid orbital,Material,scienceie
si atom,Material,scienceie
oxygen atoms,Material,scienceie
e′ centres,Material,scienceie
hole injection,Process,scienceie
thermal oxidation,Process,scienceie
silicon surfaces,Material,scienceie
neutral oxygen vacancy,Material,scienceie
major hole trap,Material,scienceie
si atoms,Material,scienceie
localised unpaired electron,Material,scienceie
positive charge trapping,Process,scienceie
high density of e′ centres,Material,scienceie
positive charge,Process,scienceie
e′ centre,Material,scienceie
post-irradiation electron injection,Process,scienceie
thermoreversible gelation,Task,scienceie
cross-linked branching networks,Process,scienceie
commercial silicone dielectric gel,Process,scienceie
sdg,Process,scienceie
fibrin gel,Process,scienceie
thrombin-induced polymerisation,Process,scienceie
fibrinogen molecules,Process,scienceie
biopolymer gel,Process,scienceie
production of electronic products,Task,scienceie
gel network product,Process,scienceie
microstructural component,Material,scienceie
blood clot,Material,scienceie
critical-gel,Material,scienceie
gp,Material,scienceie
‘template’ for the ensuing development of microstructure and associated rheological properties,Material,scienceie
fibrin clot,Material,scienceie
dirac equation,Process,scienceie
pauli equation,Process,scienceie
continuum space-time,Material,scienceie
massless spin-1/2 particles,Material,scienceie
objects hopping on a lattice instead of particles,Process,scienceie
the creutz model,Process,scienceie
measurement scenario,Task,scienceie
motion of the particle,Task,scienceie
future research,Task,scienceie
particles moving in a space-time continuum,Task,scienceie
objects,Material,scienceie
lattice,Material,scienceie
lattice model,Process,scienceie
vibronic coupling models,Process,scienceie
nuclear dynamics studies,Task,scienceie
electronic structure calculations,Task,scienceie
vibronic coupling model,Process,scienceie
polynomial expansion,Task,scienceie
diabatic potential energy surfaces and couplings,Task,scienceie
expansion coefficients,Process,scienceie
diabatisation,Process,scienceie
non-adiabatic systems,Task,scienceie
diabatisation scheme,Process,scienceie
direct-dynamic methods,Process,scienceie
irreducible representation,Process,scienceie
irrep,Process,scienceie
symmetric geometries,Process,scienceie
analytic model potentials,Process,scienceie
model hamiltonian,Process,scienceie
true hamiltonian,Process,scienceie
permutation-inversion groups,Process,scienceie
introduce vector mesons,Task,scienceie
low energy current algebra,Process,scienceie
non-linear chiral lagrangian,Process,scienceie
hidden local symmetry,Process,scienceie
dynamical vector mesons,Material,scienceie
vector-pseudo scalar interaction,Process,scienceie
h,Process,scienceie
vector-pseudoscalar coupling,Process,scienceie
ih4〈vμ(p∂μp−∂μpp)〉,Process,scienceie
vertices of ρ's to pseudoscalar mesons,Process,scienceie
(12)π+(p1)π−(p2)ρ0:h(p1−p2)μεμ,Process,scienceie
π+(p1)π0(p2)ρ−:h(p1−p2)μεμ,Process,scienceie
k+(p1)k¯0(p2)ρ−:h2(p1−p2)μεμ,Process,scienceie
ρ decay width,Process,scienceie
γ(ρ)=h2(|pπ|)3/(6πmρ2),Process,scienceie
pπ,Process,scienceie
momentum of final state pions in the ρ rest frame,Process,scienceie
kawarabayashi–suzuki–riazuddin–fayyazuddin relation,Material,scienceie
differ by small amounts,Process,scienceie
strong four-point vertices involving pions are obtained,Task,scienceie
weak vertices are obtained,Task,scienceie
vector mesons,Material,scienceie
max-linear programs,Process,scienceie
multiprocessor interactive systems,Material,scienceie
optimisation problems,Process,scienceie
variables,Material,scienceie
integer solutions,Process,scienceie
generic class of matrices,Material,scienceie
two-sided max-linear systems and programs,Material,scienceie
general matrices,Material,scienceie
algorithms for finding integer solutions,Task,scienceie
max-linear programs,Material,scienceie
adapt the existing methods for finding real solutions,Task,scienceie
anat procedure,Process,scienceie
acmllr transforms,Process,scienceie
gmm–hmm model,Process,scienceie
factorisation approach using mllr speaker transforms,Process,scienceie
speaker clustering,Task,scienceie
speaker adaptation,Task,scienceie
adaptive retraining of the gmm–hmm parameters,Process,scienceie
training show-based acmllr transforms,Process,scienceie
adaptive training,Process,scienceie
anat model,Process,scienceie
implications of the results,Task,scienceie
the weighted additive model with a distance function structure,Task,scienceie
takes negative values for points located outside the technology and non-negative values for points into the production possibility set,Process,scienceie
measure productivity over time,Process,scienceie
weighted additive model,Material,scienceie
some related approach,Material,scienceie
the weighted additive distance function,Task,scienceie
a new distance function,Material,scienceie
means that technical inefficiency is measured following the pareto-koopmans notion of efficiency,Process,scienceie
determined and decomposed over time,Process,scienceie
the weighted additive distance function,Material,scienceie
weighted additive distance function,Material,scienceie
distance function,Material,scienceie
problem that the diesel engine pt fuel system is unable to field maintain,Task,scienceie
signal acquisition,Process,scienceie
analysis,Process,scienceie
diesel engine pt fuel system,Material,scienceie
pt pump work principle was analyzed,Task,scienceie
failure fuel pressure characteristics were analyzed,Task,scienceie
analysis system,Process,scienceie
diagnose the diesel engine pt fuel system,Task,scienceie
detect the diesel engine pt fuel system state,Process,scienceie
diesel engine pt fuel,Material,scienceie
pt pump,Material,scienceie
diesel engine pt pump,Material,scienceie
portable signal acquisition and analysis system,Material,scienceie
sw-svr,Process,scienceie
micrometeorological data,Material,scienceie
standard algorithms,Process,scienceie
dynamic aggregation of models,Process,scienceie
d-sdc,Process,scienceie
training data,Material,scienceie
combination of several algorithms,Process,scienceie
kernel approximation,Process,scienceie
pls regression,Process,scienceie
k-means,Process,scienceie
linear svr,Process,scienceie
tune the parameters,Process,scienceie
grid search,Process,scienceie
stem measurements,Process,scienceie
calculate a new model,Process,scienceie
cross-sectional stem data,Material,scienceie
extraction of layer thickness,Process,scienceie
altering the growth time,Process,scienceie
dbr stack,Material,scienceie
dbr stack in the wing regions,Material,scienceie
the window regions,Material,scienceie
gan/aln interfaces,Material,scienceie
dbr layer,Material,scienceie
gan layer,Material,scienceie
aln layer,Material,scienceie
tele-operated mobile robot system,Process,scienceie
old age surveillance,Task,scienceie
autonomous mode,Process,scienceie
navigates in the environment,Process,scienceie
search for unusual situation,Process,scienceie
elderly people,Material,scienceie
lying on the floor,Process,scienceie
patient,Material,scienceie
informs the user,Process,scienceie
switches the control mode from autonomous to haptic based,Process,scienceie
visual sensor and landmarks to monitor,Task,scienceie
microphone,Material,scienceie
speaker,Material,scienceie
monitor,Material,scienceie
communicate,Process,scienceie
remote place,Material,scienceie
vital sensors,Process,scienceie
patient's condition,Material,scienceie
robot,Material,scienceie
tele-operated mobile robot system,Material,scienceie
art model,Process,scienceie
hadronic transport model,Process,scienceie
experimental data from hadron–hadron collisions,Material,scienceie
elastic and inelastic collisions,Task,scienceie
understand whether or not the strongly interacting matter formed in these collisions reaches chemical and/or thermal equilibrium,Task,scienceie
extend the art model to include perturbatively the ξ particle,Task,scienceie
transport model,Material,scienceie
baryons,Material,scienceie
"n, δ(1232)",Material,scienceie
n∗(1440),Material,scienceie
n∗(1535),Material,scienceie
λ,Material,scienceie
σ,Material,scienceie
mesons,Material,scienceie
π,Material,scienceie
ρ,Material,scienceie
ω,Material,scienceie
η,Material,scienceie
k,Material,scienceie
k∗,Material,scienceie
these particles,Material,scienceie
hadron–hadron collisions,Process,scienceie
hadron,Material,scienceie
explaining many experimental observations,Task,scienceie
kaon antiflow,Process,scienceie
heavy ion collisions,Process,scienceie
kaon,Material,scienceie
heavy ion,Material,scienceie
ags energies,Process,scienceie
strongly interacting matter,Material,scienceie
collisions,Process,scienceie
ξ particle,Material,scienceie
rare particles,Material,scienceie
numerical scheme,Process,scienceie
galerkin finite element method,Process,scienceie
multi-term time fractional diffusion equation,Task,scienceie
multiple caputo fractional derivatives in time,Process,scienceie
galerkin scheme,Process,scienceie
fully discrete scheme,Process,scienceie
finite difference discretization of the caputo fractional derivatives,Process,scienceie
numerical experiments,Process,scienceie
one- and two-dimension,Process,scienceie
empirical convergence rates,Material,scienceie
new regularity results,Material,scienceie
quantum chromodynamics,Task,scienceie
qcd,Task,scienceie
relativistic bound state problem,Task,scienceie
light-cone hamiltonian approach,Process,scienceie
light-cone wave functions,Task,scienceie
reliable light-cone wave functions,Material,scienceie
calculate high energy scattering,Task,scienceie
equal time hamiltonian,Process,scienceie
transform the resulting wave functions into light-cone form,Process,scienceie
construction of an effective hamiltonian including the gauge degrees of freedom explicitly,Task,scienceie
solving the bound state problem,Process,scienceie
solve the valence quark wave function for mesons,Task,scienceie
simple hamiltonian with a two-body potential ,Process,scienceie
kinematical on-shell equations,Process,scienceie
valence quark wave function,Process,scienceie
reactions,Process,scienceie
understanding the confinement physics from first principles,Task,scienceie
develop analytical approaches,Task,scienceie
spontaneous symmetry breaking of scale invariance,Process,scienceie
scale-invariant lagrangian,Process,scienceie
function of 4-index field strength,Process,scienceie
(2)w=εμναβ∂μaναβ,Process,scienceie
aναβ equation of motion leads,Process,scienceie
εμναβ∂βw−−fγδafaγδ=0,Process,scienceie
integrated to (4)w=−fμνafaμν+m,Process,scienceie
aaμ equation of motion,Process,scienceie
the effective lagrangian,Process,scienceie
leff=−14fμνafaμν+m2−fμνafaμν,Process,scienceie
spherically symmetric solutions,Task,scienceie
quantum theory calculation of the static energy between two charges,Task,scienceie
coulomb piece,Material,scienceie
confining part,Material,scienceie
string like solutions,Process,scienceie
polymerization techniques,Process,scienceie
step-growth polymerization,Process,scienceie
free radical polymerization,Process,scienceie
synthesis of polyesters,Task,scienceie
polyesters,Material,scienceie
polyamide,Material,scienceie
epoxies,Material,scienceie
synthesis of polyacrylics,Process,scienceie
polyacrylics,Material,scienceie
polymerization reactions,Process,scienceie
solution,Material,scienceie
dispersed media,Material,scienceie
heterophase polymerizations,Process,scienceie
emulsion,Process,scienceie
dispersion,Process,scienceie
miniemulsion polymerizations,Process,scienceie
removal of the resulting product,Task,scienceie
bulk polymerization,Process,scienceie
reaction medium,Material,scienceie
polymerization,Process,scienceie
reaction,Process,scienceie
dilution,Process,scienceie
reactants,Material,scienceie
organic solvents,Material,scienceie
droplets,Material,scienceie
dilution effect,Process,scienceie
surfactant molecules,Material,scienceie
stabilization of the monomer droplet,Process,scienceie
monomer droplet,Material,scienceie
polymer particles,Material,scienceie
bent conformation,Process,scienceie
defined rotation of the octyl chains,Process,scienceie
twist of the first cc single bond,Process,scienceie
dense packing,Process,scienceie
structure solution,Process,scienceie
linearly extended chains,Material,scienceie
combined md and vasp calculations,Process,scienceie
rotated side chains,Material,scienceie
dott molecule,Material,scienceie
octyl side chains,Material,scienceie
octyl chain,Material,scienceie
octyl chains,Material,scienceie
thin film,Material,scienceie
crystal structure,Material,scienceie
terthiophene unit,Material,scienceie
central terthiophene units,Material,scienceie
energy conservation,Process,scienceie
contact and collision problems,Task,scienceie
energy conservation,Task,scienceie
penalty regulation,Process,scienceie
continuum problems,Task,scienceie
conservation schemes,Process,scienceie
finite element method,Process,scienceie
simulate frictionless  [44] and frictional  [43] contact and collision,Task,scienceie
node-to-segment contact method,Process,scienceie
large deformation contact problems,Task,scienceie
conserving scheme,Process,scienceie
energy and momentum-conserving temporal discretization scheme,Process,scienceie
adhesive contact problems,Task,scienceie
friction,Process,scienceie
dissipation,Process,scienceie
energy and momentum conserving algorithm,Process,scienceie
romp derived random copolymers,Material,scienceie
covalent incorporation of optical sensor moieties into a polymer matrix,Task,scienceie
optical sensor moieties,Material,scienceie
polymer matrix,Material,scienceie
rom polymers,Material,scienceie
matrix materials,Material,scienceie
phosphorescent complex platinum tetrakis(pentafluorophenyl)porphyrin,Material,scienceie
rom polymer’s side chain,Material,scienceie
sensor molecules,Material,scienceie
synthesis of romp-able optical sensor molecules,Task,scienceie
romp-able optical sensor molecules,Material,scienceie
phenantroimidazoles,Material,scienceie
europium complexes,Material,scienceie
xanthene dyes,Material,scienceie
copolymerization,Process,scienceie
evaluation of their sensing profiles in the copolymers,Task,scienceie
copolymers,Material,scienceie
random copolymers with covalently bound eosin and/or ethyl dimethylamino benzoate units,Task,scienceie
covalently bound eosin,Material,scienceie
ethyl dimethylamino benzoate units,Material,scienceie
macroinitiators,Material,scienceie
acrylates,Material,scienceie
initiator/coinitiator system,Material,scienceie
water-gas shift reaction,Process,scienceie
wgsr,Process,scienceie
chemical kinetics equipment,Process,scienceie
hydrogen recovery,Process,scienceie
industrial processes,Process,scienceie
catalysts,Material,scienceie
calcite,Material,scienceie
coal char,Material,scienceie
natural catalysts,Material,scienceie
modified olivine,Material,scienceie
gasification process,Process,scienceie
heated,Process,scienceie
catalyst,Material,scienceie
unburned residues from coal,Material,scienceie
implementing a quantum search algorithm by adiabatic evolution,Task,scienceie
three different approaches,Task,scienceie
quadratic speed up,Process,scienceie
classical search algorithm,Process,scienceie
adiabatic evolution,Process,scienceie
quantum computation,Task,scienceie
feasibilities,Material,scienceie
quantum circuit model,Process,scienceie
quantum search algorithm,Process,scienceie
non-standard couplings,Task,scienceie
standard e+e− option,Process,scienceie
linear collider,Material,scienceie
potential power,Task,scienceie
parameter αγ1,Task,scienceie
γγ collider,Material,scienceie
e+e−,Process,scienceie
coupling αγ2,Task,scienceie
e+e− colliders,Material,scienceie
polar-angle distributions of leptons and b-quarks,Task,scienceie
imaginary part of the electric dipole moment,Process,scienceie
he real part of the top-quark electric dipole moment,Process,scienceie
measurement of γγh couplings,Task,scienceie
the decay form factor αd measurement,Task,scienceie
e+e− option,Process,scienceie
e+e− polarization,Process,scienceie
the bx final state,Process,scienceie
αh1 and αh2 could be measured,Task,scienceie
framework,Task,scienceie
each agent is implementing a different metaheuristic/local search combination,Process,scienceie
adapts,Process,scienceie
a direct cooperation protocol,Material,scienceie
reinforcement learning,Task,scienceie
pattern matching,Task,scienceie
good patterns,Task,scienceie
agents,Material,scienceie
agent-based system,Task,scienceie
provide a modular flexible framework,Process,scienceie
deal with a variety of different problem domains,Process,scienceie
this approach,Task,scienceie
embodies a set of well known metaheuristics with different configurations,Process,scienceie
two problem domains,Material,scienceie
permutation flow-shop scheduling and capacitated vehicle routing,Material,scienceie
approach,Task,scienceie
capacitated vehicle routing benchmarks,Material,scienceie
permutation flow-shop scheduling,Material,scienceie
cohesive zone elements,Material,scienceie
uncertainty quantification of the crack propagation phenomenon,Task,scienceie
maintenance scheduling,Task,scienceie
assessment of the reliability sensitivity with respect to the variables that define the maintenance scheduling,Process,scienceie
estimation of this sensitivity,Process,scienceie
optimal maintenance schedule within the proposed framework,Task,scienceie
continuous and discontinuous parts,Material,scienceie
optimal maintenance scheduling for a structure,Task,scienceie
numerical strategy,Process,scienceie
estimate accurately the gradients of the failure events,Process,scienceie
initiation and propagation of fatigue crack,Process,scienceie
class of elements,Material,scienceie
modeling the crack initiation and propagation within a unified framework,Task,scienceie
accounting explicitly for the effects of uncertainty,Process,scienceie
model characterizing repair of a cracked structure,Material,scienceie
discontinuous performance function associated with the failure probability,Task,scienceie
unified framework,Process,scienceie
lattice qcd computation of nucleon–nucleon low-energy interactions,Task,scienceie
electromagnetic” field,Material,scienceie
field strength is zero,Process,scienceie
tuning the background field,Process,scienceie
phase-shifts at any (but small) momenta,Task,scienceie
measuring the shift of the ground state energy,Process,scienceie
lattice sizes,Material,scienceie
calculation of phase shifts,Task,scienceie
lattice qcd computation,Process,scienceie
nucleon–nucleon low-energy interactions,Process,scienceie
simulating qcd,Process,scienceie
adhesion/cohesion,Process,scienceie
scratch test method,Process,scienceie
adhesion/cohesion of the coating,Task,scienceie
"revetest system (csm instruments sa, switzerland) equipped with a h-270 diamond indentor (200μm diameter)",Material,scienceie
scratch indentations were carried out,Process,scienceie
determination of location of spallation/delamination,Task,scienceie
understand the nature of the coating failure,Task,scienceie
loading force and penetration depth were recorded,Material,scienceie
loading force and penetration depth were recorded and their respective values were correlated with the observed failure locations,Process,scienceie
surface roughness tester,Material,scienceie
surface roughness of the coating was evaluated,Task,scienceie
eight measurements,Material,scienceie
coating,Process,scienceie
outer layer,Material,scienceie
ra,Process,scienceie
roughness,Process,scienceie
design method,Process,scienceie
network attack,Process,scienceie
defense simulation platform,Process,scienceie
visio second development method,Process,scienceie
construct the virtual network topology,Task,scienceie
parsing of virtual network topology,Task,scienceie
relative flow sheet,Material,scienceie
test performance of the platform,Task,scienceie
test performance,Process,scienceie
platform,Process,scienceie
virtual network,Material,scienceie
light neutrino masses,Task,scienceie
see-saw mechanism,Process,scienceie
yukawa couplings in the quark and charged lepton sectors,Task,scienceie
hierarchy-free masses implied by the δm2's,Task,scienceie
θ12 and θ23 mixing angles,Task,scienceie
the angle θ13,Task,scienceie
quark sector,Process,scienceie
rhd neutrino masses,Material,scienceie
δm2 values can be fitted by taking the spectrum of rhd neutrino masses,Process,scienceie
hierarchical neutrino yukawa couplings,Process,scienceie
mr∼1010–1015,Material,scienceie
quark,Material,scienceie
charged lepton sectors,Material,scienceie
yukawa couplings,Material,scienceie
studies,Material,scienceie
pseudo-nitzschia pungens,Material,scienceie
clone pp-07,Material,scienceie
golden alga isochrysis galbana,Material,scienceie
clone tiso,Material,scienceie
toxic effects,Process,scienceie
nanotubes,Material,scienceie
algae,Material,scienceie
isochrysis galbana,Material,scienceie
incubated,Process,scienceie
presents the results of studies of the effect of multiwalled carbon nanotubes,Task,scienceie
cells,Material,scienceie
chloroplasts,Material,scienceie
structural adhesives,Material,scienceie
bonding components,Material,scienceie
critical load bearing engineering structures,Material,scienceie
aerospace,Material,scienceie
automotives,Material,scienceie
adhesives,Material,scienceie
epoxy polymers,Material,scienceie
microstructure,Material,scienceie
fracture toughness,Process,scienceie
improving the fracture toughness of epoxy polymers,Task,scienceie
incorporating a second minority phase at the nano-scale,Process,scienceie
inorganic additives,Material,scienceie
nano-clays,Material,scienceie
organic,Material,scienceie
rubber particles,Material,scienceie
rubbery additives,Material,scienceie
core–shell rubber particles,Material,scienceie
curing,Process,scienceie
reaction induced phase separation mechanisms,Process,scienceie
energy dissipation mechanisms,Process,scienceie
rubber toughened epoxies,Material,scienceie
plastic void growth,Task,scienceie
shear band development,Task,scienceie
plastic void growth,Process,scienceie
shear band development,Process,scienceie
additives,Material,scienceie
hybrid material,Material,scienceie
synergistic toughening effects,Process,scienceie
silica nanoparticles,Material,scienceie
rubber with silica nanoparticles,Material,scienceie
carbon nanotubes and silica nanoparticles,Material,scienceie
powder x-ray diffraction,Process,scienceie
xrd,Process,scienceie
panalytical empyrean diffractometer,Process,scienceie
xrd patterns,Material,scienceie
stoe win xpow software,Process,scienceie
phase purity,Task,scienceie
crystal structure,Task,scienceie
cell parameters,Task,scienceie
thermogravimetric analysis,Process,scienceie
tga,Process,scienceie
