term,annotation,df
myalgia,Disease,ncbi
hereditary breast and ovarian cancer syndrome,Disease,ncbi
maternal uniparental disomy for chromosome 14,Disease,ncbi
upd,Disease,ncbi
obesity,Disease,ncbi
developmental delay,Disease,ncbi
cryptorchidism,Disease,ncbi
dysmorphic features,Disease,ncbi
intrauterine growth retardation,Disease,ncbi
hypotonia,Disease,ncbi
obese,Disease,ncbi
middle ear infections,Disease,ncbi
maternal heterodisomy,Disease,ncbi
scoliosis,Disease,ncbi
foot deformity,Disease,ncbi
loss of proprioception,Disease,ncbi
bladder symptoms,Disease,ncbi
diabetes,Disease,ncbi
impaired proprioception,Disease,ncbi
retinoschisis,Disease,ncbi
juvenile retinoschisis,Disease,ncbi
x - linked recessive disease,Disease,ncbi
inherited ataxia,Disease,ncbi
autosomal dominantly inherited cancer syndrome,Disease,ncbi
hemangioblastomas,Disease,ncbi
pancreatic cysts and tumors,Disease,ncbi
pheochromocytomas,Disease,ncbi
endolymphatic sac tumors,Disease,ncbi
epididymal cystadenomas,Disease,ncbi
vhl gene abnormality,Disease,ncbi
malignant rhabdoid tumors,Disease,ncbi
rhabdoid tumors,Disease,ncbi
choroid plexus carcinomas,Disease,ncbi
neuroectodermal tumors,Disease,ncbi
medulloblastomas,Disease,ncbi
wilms tumors,Disease,ncbi
gliomas,Disease,ncbi
ependymomas,Disease,ncbi
sarcomas,Disease,ncbi
rhabdoid,Disease,ncbi
spinocerebellar ataxia type - 3,Disease,ncbi
sca3,Disease,ncbi
cag / polyglutamine repeat disease,Disease,ncbi
polyglutamine disease,Disease,ncbi
neuronal dysfunction,Disease,ncbi
prader - willi,Disease,ncbi
neurogenetic disorder,Disease,ncbi
contiguous gene syndrome,Disease,ncbi
pediatric cancer of striated muscle,Disease,ncbi
hfe deficiency,Disease,ncbi
hfe - deficient,Disease,ncbi
immune deficiency,Disease,ncbi
chromosome instability,Disease,ncbi
lymphoid malignancy,Disease,ncbi
chronic lymphocytic leukemia,Disease,ncbi
leukemia,Disease,ncbi
leukemic,Disease,ncbi
lymphoid malignancies,Disease,ncbi
burkitts lymphoma,Disease,ncbi
lymphoid neoplasms,Disease,ncbi
frasier syndrome,Disease,ncbi
fs,Disease,ncbi
wt1 gene abnormality,Disease,ncbi
deafness,Disease,ncbi
recessive inherited disorder,Disease,ncbi
developmental abnormalities of the cochlea,Disease,ncbi
diffuse thyroid enlargement,Disease,ncbi
goiter,Disease,ncbi
hereditary deafness,Disease,ncbi
sjogren - larsson syndrome,Disease,ncbi
sls,Disease,ncbi
ichthyosis,Disease,ncbi
spasticity,Disease,ncbi
deficient activity of fatty aldehyde dehydrogenase,Disease,ncbi
periodontal disease,Disease,ncbi
palmoplantar keratosis,Disease,ncbi
papillon - lefevre syndrome,Disease,ncbi
keratosis palmoplantaris,Disease,ncbi
periodontopathia,Disease,ncbi
pls,Disease,ncbi
periodontitis,Disease,ncbi
tooth loss,Disease,ncbi
hyperkeratosis,Disease,ncbi
keratosis,Disease,ncbi
autosomal dominant craniofacial disorder,Disease,ncbi
neonatal alloimmune thrombocytopenia,Disease,ncbi
palmoplantar hyperkeratosis,Disease,ncbi
attenuated apc,Disease,ncbi
adenomatous polyps of the colon and rectum,Disease,ncbi
colorectal polyps,Disease,ncbi
alstrom syndrome,Disease,ncbi
retinal degeneration,Disease,ncbi
non - insulin - dependent diabetes mellitus,Disease,ncbi
congenital sensorineural hearing loss,Disease,ncbi
congenital deafness,Disease,ncbi
widened vestibular aqueduct,Disease,ncbi
congenital hearing loss,Disease,ncbi
inner ear morphological anomaly,Disease,ncbi
knobloch syndrome,Disease,ncbi
midline scalp defect of the frontal region,Disease,ncbi
vitreoretinal degeneration,Disease,ncbi
high myopia,Disease,ncbi
telecanthus,Disease,ncbi
hypertelorism,Disease,ncbi
high - arched palate,Disease,ncbi
defect of the anterior midline scalp,Disease,ncbi
midline scalp defects,Disease,ncbi
ataxia - telangiectasia - like disorder,Disease,ncbi
atld,Disease,ncbi
nbs,Disease,ncbi
hypersensitivity to ionizing radiation,Disease,ncbi
familial expansile osteolysis,Disease,ncbi
feo,Disease,ncbi
autosomal dominant bone disorder,Disease,ncbi
increased bone remodelling,Disease,ncbi
osteolytic lesions,Disease,ncbi
familial paget disease of bone,Disease,ncbi
pdb,Disease,ncbi
brugada syndrome,Disease,ncbi
congenital long - qt syndrome,Disease,ncbi
lqt3,Disease,ncbi
idiopathic ventricular fibrillation,Disease,ncbi
ivf,Disease,ncbi
autosomal recessive neurodegenerative disease,Disease,ncbi
x - linked retinoschisis,Disease,ncbi
xlrs,Disease,ncbi
vitreoretinal dystrophy,Disease,ncbi
visual loss,Disease,ncbi
genetic abnormalities,Disease,ncbi
hereditary multisystemic disease,Disease,ncbi
ataxia telangiectasia,Disease,ncbi
neurological lesion,Disease,ncbi
haim - munk syndrome,Disease,ncbi
palmoplantar keratoderma ( ppk ) conditions,Disease,ncbi
hms,Disease,ncbi
ppk,Disease,ncbi
arachnodactyly,Disease,ncbi
acro - osteolysis,Disease,ncbi
atrophic changes of the nails,Disease,ncbi
radiographic deformity of the fingers,Disease,ncbi
sporadic breast cancer,Disease,ncbi
episodic hemolytic anemia,Disease,ncbi
life - long hemolytic anemia,Disease,ncbi
inherited neuromuscular disease,Disease,ncbi
venous thrombosis,Disease,ncbi
deficiencies of protein s,Disease,ncbi
protein s deficiency,Disease,ncbi
thrombophilic conditions,Disease,ncbi
pros1 gene defect,Disease,ncbi
thrombosis,Disease,ncbi
thrombophilic defect,Disease,ncbi
trauma,Disease,ncbi
defects in the pros1 gene,Disease,ncbi
pros1 gene defects,Disease,ncbi
motor incoordination,Disease,ncbi
immune deficiencies,Disease,ncbi
hereditary disease,Disease,ncbi
cerebellar dysfunction,Disease,ncbi
neuropathological abnormalities,Disease,ncbi
atm deficiency,Disease,ncbi
wd,Disease,ncbi
inherited breast and ovarian cancers,Disease,ncbi
neurodegenerative disorders,Disease,ncbi
progressive cerebellar ataxia,Disease,ncbi
spinocerebellar ataxia type 3,Disease,ncbi
degeneration of certain brain areas,Disease,ncbi
"emerin , deficiency",Disease,ncbi
x - linked recessive emery - dreifuss muscular dystrophy,Disease,ncbi
inherited muscle disorder,Disease,ncbi
wasting of humero - peroneal muscles,Disease,ncbi
"contractures of the elbows , achilles tendons and postcervical muscles",Disease,ncbi
cardiac conduction block,Disease,ncbi
sudden death,Disease,ncbi
autosomal recessive ataxia,Disease,ncbi
impaired glucose tolerance,Disease,ncbi
igt,Disease,ncbi
hypertriglyceridemia,Disease,ncbi
cardiovascular disease,Disease,ncbi
hyperglycerolemia,Disease,ncbi
primary dystonias,Disease,ncbi
movement disorders,Disease,ncbi
idiopathic torsion dystonia,Disease,ncbi
focal dystonia,Disease,ncbi
paroxysmal dystonic choreoathetosis,Disease,ncbi
x - linked dystonia parkinsonism syndrome,Disease,ncbi
x - linked sensorineural deafness,Disease,ncbi
sensorineural deafness,Disease,ncbi
dystonias 1 - 12,Disease,ncbi
peroxisomal disease,Disease,ncbi
gm1 - gangliosidosis,Disease,ncbi
deficiency of acid beta - galactosidase,Disease,ncbi
cardiac abnormalities,Disease,ncbi
genetic lesions,Disease,ncbi
mesenchymal tumour,Disease,ncbi
fat - cell tumours,Disease,ncbi
partial or complete deficiency of hmgic,Disease,ncbi
leptin deficiency,Disease,ncbi
factor x deficiency,Disease,ncbi
haemorrhagic condition,Disease,ncbi
adipose tissue inflammation,Disease,ncbi
benign tumors,Disease,ncbi
rare diseases,Disease,ncbi
nijmegen breakage syndrome,Disease,ncbi
phenotypic abnormalities,Disease,ncbi
chromosomal instability,Disease,ncbi
inherited mental retardation,Disease,ncbi
fragile x mental retardation,Disease,ncbi
haploinsufficiency of the transcription factors foxc1 and foxc2,Disease,ncbi
anterior segment developmental disorders,Disease,ncbi
axenfeld - rieger anomaly,Disease,ncbi
ara,Disease,ncbi
glaucoma,Disease,ncbi
anterior segment defects,Disease,ncbi
anterior segment abnormalities,Disease,ncbi
fmr1 deficiency,Disease,ncbi
macroorchidism,Disease,ncbi
iron - sulfur protein deficiency,Disease,ncbi
gaucher disease,Disease,ncbi
gd,Disease,ncbi
ankylosing spondylitis,Disease,ncbi
peripheral arthritis,Disease,ncbi
peripheral psoriatic arthritis,Disease,ncbi
ulcerative colitis,Disease,ncbi
psoriasis,Disease,ncbi
inflammatory bowel disease,Disease,ncbi
spondylitis,Disease,ncbi
brca1 abnormalities,Disease,ncbi
breast - ovarian cancer syndrome,Disease,ncbi
very long chain acyl - coa dehydrogenase deficiency,Disease,ncbi
very long chain acyl - coa dehydrogenase ( vlcad ) deficiency,Disease,ncbi
familial pws,Disease,ncbi
nonketotic hyperglycinemia,Disease,ncbi
nkh,Disease,ncbi
in - born error of metabolism,Disease,ncbi
neurological disturbance,Disease,ncbi
neurogenetic disease,Disease,ncbi
infantile hypotonia,Disease,ncbi
gonadal hypoplasia,Disease,ncbi
hyperphagia,Disease,ncbi
deficient in six5,Disease,ncbi
cataracts,Disease,ncbi
dominantly inherited disease,Disease,ncbi
muscle dystrophy,Disease,ncbi
cardiac conduction abnormalities,Disease,ncbi
six5 deficiency,Disease,ncbi
abnormalities of skeletal muscle function,Disease,ncbi
lenticular opacities,Disease,ncbi
multigenic disorder,Disease,ncbi
cardiac arrhythmia,Disease,ncbi
hyperinsulinaemia,Disease,ncbi
cardiac conduction disorders,Disease,ncbi
brca - linked and sporadic ovarian cancer,Disease,ncbi
hereditary ovarian cancers,Disease,ncbi
sporadic ( nonhereditary ) ovarian cancers,Disease,ncbi
hereditary cancers,Disease,ncbi
brca - associated hereditary ovarian cancers,Disease,ncbi
advanced - stage hereditary cancer,Disease,ncbi
nonhereditary cancer,Disease,ncbi
brca1 - linked than for brca2 - linked cancers,Disease,ncbi
fever,Disease,ncbi
neutrophil - mediated serosal inflammation,Disease,ncbi
mucopolysaccharidosis iva,Disease,ncbi
mps iva,Disease,ncbi
deficiency of n - acetylgalactosamine - 6 - sulfate sulfatase,Disease,ncbi
autosomal recessive syndrome,Disease,ncbi
ischemic heart disease,Disease,ncbi
hereditary tumor syndrome,Disease,ncbi
bilateral and multi - centric hemangioblastoma,Disease,ncbi
pheochromocytoma,Disease,ncbi
"cysts in the kidney , pancreas , and epididymis",Disease,ncbi
vhl disease,Disease,ncbi
central nervous system hemangioblastoma,Disease,ncbi
recessive genetic disorders,Disease,ncbi
genetic diseases,Disease,ncbi
microcephaly,Disease,ncbi
cohen syndrome,Disease,ncbi
postnatal growth deficiency,Disease,ncbi
chorioretinal dystrophy,Disease,ncbi
rheumatic disorder,Disease,ncbi
dfnb4,Disease,ncbi
autosomal recessive non - syndromic hearing loss,Disease,ncbi
mendelian disease,Disease,ncbi
multifactorial diseases,Disease,ncbi
hemophilia b,Disease,ncbi
photoreceptor dystrophies,Disease,ncbi
autosomal dominant retinitis pigmentosa,Disease,ncbi
macular dystrophy,Disease,ncbi
congenital afibrinogenemia,Disease,ncbi
"autosomal , recessive disorder",Disease,ncbi
afibrinogenemia,Disease,ncbi
neonatal hypotonia,Disease,ncbi
childhood - onset obesity,Disease,ncbi
abnormalities in brain development,Disease,ncbi
visual deterioration,Disease,ncbi
retinal dystrophy,Disease,ncbi
benign familial infantile convulsions syndrome,Disease,ncbi
bfic,Disease,ncbi
benign familial infantile convulsions,Disease,ncbi
autosomal dominant epilepsy syndrome,Disease,ncbi
"generalized epilepsy and febrile seizures nn	o	i-disease
plus	nn	o	i-disease",Disease,ncbi
attenuated familial adenomatous polyposis,Disease,ncbi
adenomatous polyposis coli ( apc ) tumor,Disease,ncbi
benign colorectal tumors,Disease,ncbi
attenuated fap,Disease,ncbi
afap,Disease,ncbi
colorectal tumors,Disease,ncbi
frataxin deficiency,Disease,ncbi
autosomal recessive cardiodegenerative and neurodegenerative disease,Disease,ncbi
mitochondrial iron accumulation,Disease,ncbi
hypersensitivity to oxidative stress,Disease,ncbi
faciogenital dysplasia,Disease,ncbi
aarskog - scott syndrome,Disease,ncbi
aas,Disease,ncbi
"facial , limb and genital abnormalities",Disease,ncbi
x - linked agammaglobulinemia,Disease,ncbi
neuritic degeneration,Disease,ncbi
hereditary colorectal cancer syndrome,Disease,ncbi
ea - 2,Disease,ncbi
fhm,Disease,ncbi
episodic ataxia type 2,Disease,ncbi
familial hemiplegic migraine,Disease,ncbi
spinocerebellar ataxia 6,Disease,ncbi
sca6,Disease,ncbi
migraine,Disease,ncbi
analbuminemia,Disease,ncbi
ankle edema,Disease,ncbi
ease of fatigue,Disease,ncbi
arterial hypotension,Disease,ncbi
histidinemia,Disease,ncbi
pyruvate carboxylase deficiency,Disease,ncbi
pc portland deficiency,Disease,ncbi
severe neonatal jaundice,Disease,ncbi
hyperbilirubinaemia,Disease,ncbi
wolman disease,Disease,ncbi
malignant neoplasms,Disease,ncbi
malignant neoplasm,Disease,ncbi
"ovarian , gastric , and biliary system carcinomas",Disease,ncbi
lymphoma,Disease,ncbi
neoplasms,Disease,ncbi
"pancreatic , basal cell , colonic , breast , and cervical carcinomas",Disease,ncbi
atopic dermatitis,Disease,ncbi
bronchial asthma,Disease,ncbi
seizure disorder,Disease,ncbi
hyperlipoproteinemia,Disease,ncbi
corneal arcus,Disease,ncbi
piebaldism,Disease,ncbi
multiple congenital anomalies,Disease,ncbi
piebald,Disease,ncbi
lesch - nyhan,Disease,ncbi
complete deficiency of hypoxanthine guanine phosphoribosyltransferase,Disease,ncbi
hprt deficient,Disease,ncbi
x - linked recessive disorder,Disease,ncbi
congenital blindness,Disease,ncbi
sensory neural deafness,Disease,ncbi
hyperphenylalaninemias,Disease,ncbi
hyperphenylalaninemia,Disease,ncbi
tay - sachs disease,Disease,ncbi
tsd,Disease,ncbi
genetic defects,Disease,ncbi
hpa,Disease,ncbi
classical phenylketonuria,Disease,ncbi
hexosaminidase a deficiency,Disease,ncbi
tay - sachs,Disease,ncbi
chm,Disease,ncbi
choroideremia,Disease,ncbi
x - linked progressive degeneration of the choroid and retina,Disease,ncbi
wilms ' tumour,Disease,ncbi
developmental disorder,Disease,ncbi
intersex disorders,Disease,ncbi
ndp,Disease,ncbi
glucose 6 - phosphate dehydrogenase ( g6pd ) deficiency,Disease,ncbi
enzyme deficiency in g6pd,Disease,ncbi
maternal disomy for chromosome 15,Disease,ncbi
x linked norrie disease,Disease,ncbi
duchenne,Disease,ncbi
neuroblastoma,Disease,ncbi
acute leukemia,Disease,ncbi
familial adenomatous polyposis coli,Disease,ncbi
fapc,Disease,ncbi
epidermoid cysts,Disease,ncbi
osteomata,Disease,ncbi
congenital hypertrophy of the retinal pigment epithelium,Disease,ncbi
chrpes,Disease,ncbi
mental handicap,Disease,ncbi
hereditary retinopathies,Disease,ncbi
kaposi sarcoma,Disease,ncbi
t - cell lymphoma,Disease,ncbi
t - cell large cell lymphoma,Disease,ncbi
epstein - barr virus,Disease,ncbi
cytomegalovirus,Disease,ncbi
human immunodeficiency virus,Disease,ncbi
hiv,Disease,ncbi
congenital immunodeficiency syndrome,Disease,ncbi
adenomatous polyps in the colon,Disease,ncbi
polyps,Disease,ncbi
familial polyposis apc,Disease,ncbi
genital anomalies,Disease,ncbi
wagr,Disease,ncbi
genitourinary abnormalities,Disease,ncbi
c2 deficiency,Disease,ncbi
c2 - deficient,Disease,ncbi
hodgkins disease,Disease,ncbi
adenomas,Disease,ncbi
genital abnormalities,Disease,ncbi
sustained muscle contraction,Disease,ncbi
aplasia or hypoplasia of the thymus and parathyroid glands,Disease,ncbi
conotruncal cardiac malformations,Disease,ncbi
adrenocortical carcinoma,Disease,ncbi
endocrine neoplasms,Disease,ncbi
adrenocorotical carcinoma,Disease,ncbi
carcinoma,Disease,ncbi
adrenocortical tumors,Disease,ncbi
desmoid tumor,Disease,ncbi
metachromatic leukodystrophy,Disease,ncbi
mld,Disease,ncbi
trisomy 15,Disease,ncbi
maternal disomy,Disease,ncbi
uniparental disomy,Disease,ncbi
hypotonic,Disease,ncbi
x - linked amelogenesis imperfecta,Disease,ncbi
inherited dental abnormality,Disease,ncbi
xai,Disease,ncbi
xai disease,Disease,ncbi
disorder of amino acid metabolism,Disease,ncbi
deficiency of the hepatic enzyme phenylalanine hydroxylase,Disease,ncbi
complement factor 2 deficiency,Disease,ncbi
inherited complement deficiencies,Disease,ncbi
inherited deficiency of complement factor 2,Disease,ncbi
cutaneous vasculitis,Disease,ncbi
sicca syndrome,Disease,ncbi
seropositive rheumatoid arthritis,Disease,ncbi
hypomyelination,Disease,ncbi
glial cell death,Disease,ncbi
degeneration and premature cell death of oligodendrocytes,Disease,ncbi
myelin - deficient,Disease,ncbi
oligodendrocyte degeneration,Disease,ncbi
deficiency of beta - hexosaminidase a,Disease,ncbi
deficient in hex a,Disease,ncbi
von willebrand disease type b,Disease,ncbi
cat eye syndrome,Disease,ncbi
ces,Disease,ncbi
tetrasomy,Disease,ncbi
malaria,Disease,ncbi
craniofrontonasal dysplasia,Disease,ncbi
cfnd,Disease,ncbi
frontonasal dysplasia,Disease,ncbi
coronal craniosynostosis,Disease,ncbi
extracranial abnormalities,Disease,ncbi
brittle nails with prominent longitudinal grooves,Disease,ncbi
syndactyly of fingers and toes,Disease,ncbi
laxity of joints,Disease,ncbi
x - linked disorders,Disease,ncbi
deficiency of the enzyme aspartylglucosaminidase,Disease,ncbi
wagr contiguous gene syndrome,Disease,ncbi
pyoderma gangrenosum,Disease,ncbi
pg,Disease,ncbi
systemic diseases,Disease,ncbi
congenital complement deficiencies,Disease,ncbi
deficiencies of c7,Disease,ncbi
immunologic abnormalities,Disease,ncbi
glucose - 6 - phosphate dehydrogenase ( g6pd ; ec 1 . 1 . 1 . 49 ) deficiency,Disease,ncbi
enzymopathy,Disease,ncbi
g6pd deficiencies,Disease,ncbi
golden retriever muscular dystrophy,Disease,ncbi
grmd,Disease,ncbi
dystrophin deficiency,Disease,ncbi
type i human complement c2 deficiency,Disease,ncbi
deficiency of complement protein c2,Disease,ncbi
type i c2 - deficient,Disease,ncbi
type ii c2 - deficient,Disease,ncbi
wilms ' tumor,Disease,ncbi
urogenital aberrations,Disease,ncbi
nephroblastoma,Disease,ncbi
abnormalities in the vision blindness genes,Disease,ncbi
pah deficiencies,Disease,ncbi
x - linked pelizaeus - merzbacher disease,Disease,ncbi
familial polyposis,Disease,ncbi
centrocytic lymphoma,Disease,ncbi
b - cell neoplasms,Disease,ncbi
parathyroid adenomas,Disease,ncbi
breast and squamous cell neoplasms,Disease,ncbi
centrocytic lymphomas,Disease,ncbi
noncentrocytic lymphomas,Disease,ncbi
thrombocytopenic,Disease,ncbi
"deficiency of a hepatic enzyme , phenylalanine hydroxylase",Disease,ncbi
autosomal dominant genetic disorder,Disease,ncbi
normotriglyceridemic abetalipoproteinemia,Disease,ncbi
familial disorder,Disease,ncbi
deficiency of apob - 100,Disease,ncbi
gardner syndrome,Disease,ncbi
gs,Disease,ncbi
craniofacial abnormalities,Disease,ncbi
familial polyposis coli,Disease,ncbi
fpc,Disease,ncbi
tourette syndrome,Disease,ncbi
ts,Disease,ncbi
autosomal recessive disorder of human galactose metabolism,Disease,ncbi
deficiency of the enzyme galactose - 1 - phosphate uridyl transferase,Disease,ncbi
hypoxanthine - guanine phosphoribosyltransferase deficiency,Disease,ncbi
x chromosome - linked human disease,Disease,ncbi
absence of hypoxanthine - guanine phosphoribosyltransferase ( hprt ) activity,Disease,ncbi
gouty arthritis,Disease,ncbi
partial deficiencies of hprt activity,Disease,ncbi
metabolic disorder,Disease,ncbi
homozygous hypobetalipoproteinemia,Disease,ncbi
metabolic disease,Disease,ncbi
colorectal carcinomas,Disease,ncbi
mef,Disease,ncbi
mef - amyloidosis,Disease,ncbi
deficiency of c5,Disease,ncbi
discoid lupus erythematosus,Disease,ncbi
hypocomplementemia,Disease,ncbi
c5 deficiency,Disease,ncbi
glucose / galactose malabsorption,Disease,ncbi
ggm,Disease,ncbi
diarrhoea,Disease,ncbi
dehydration,Disease,ncbi
prader willi,Disease,ncbi
limb - girdle muscular dystrophy,Disease,ncbi
pituitary - adrenal abnormality,Disease,ncbi
adrenocrotical insufficiency,Disease,ncbi
endocrinologic dysfunction,Disease,ncbi
hypercholesterolemia,Disease,ncbi
premature atherosclerosis,Disease,ncbi
congenital deficiency of the c9 component of complement,Disease,ncbi
bacterial meningitis,Disease,ncbi
purulent meningitis,Disease,ncbi
acute meningococcal meningitis,Disease,ncbi
impairment of cellular immunity,Disease,ncbi
immunoglobulin deficiency,Disease,ncbi
complete deficiency of the c9 component,Disease,ncbi
complete c9 deficiency,Disease,ncbi
recurrent meningitis,Disease,ncbi
complement defect,Disease,ncbi
"bacterial , especially neisserial , infections",Disease,ncbi
duchenne or becker muscular dystrophy,Disease,ncbi
deficiency of the murine fifth complement component ( c5 ),Disease,ncbi
deficient for c5,Disease,ncbi
c5 - deficient,Disease,ncbi
c5 protein deficiency,Disease,ncbi
molecular lesion,Disease,ncbi
abnormal color vision,Disease,ncbi
phenotypic color vision defects,Disease,ncbi
color vision anomalies,Disease,ncbi
paroxysmal nocturnal haemoglobinuria,Disease,ncbi
deficiency of the ninth component of complement,Disease,ncbi
haemolytic attack,Disease,ncbi
pnh,Disease,ncbi
inherited deficiency in the ninth complement component,Disease,ncbi
haemolysis,Disease,ncbi
haemoglobinuria,Disease,ncbi
jaundice,Disease,ncbi
haemolytic attacks,Disease,ncbi
becker muscular dystrophy,Disease,ncbi
neonatal jaundice,Disease,ncbi
lamellar cataracts,Disease,ncbi
bilateral lamellar cataracts,Disease,ncbi
sporadic cerebellar haemangioblastoma,Disease,ncbi
unilateral and bilateral retinoblastoma,Disease,ncbi
hereditary tumours,Disease,ncbi
cerebellar haemangioblastoma,Disease,ncbi
"gm2 gangliosidosis , type 1",Disease,ncbi
total deficiency of plasma cholesteryl ester transfer protein,Disease,ncbi
cholesteryl ester transfer protein ( cetp ) deficiency,Disease,ncbi
cetp - deficient,Disease,ncbi
glucose - 6 - phosphate dehydrogenase ( g6pd ; e . c . 1 . 1 . 1 . 49 ) deficiency,Disease,ncbi
retinoblastoma tumours,Disease,ncbi
unilateral tumours,Disease,ncbi
osteosarcoma,Disease,ncbi
tcd,Disease,ncbi
retinoblastoma ( rb ) tumor,Disease,ncbi
rb tumors,Disease,ncbi
langer - giedion syndrome,Disease,ncbi
lgs,Disease,ncbi
color vision defects,Disease,ncbi
contiguous gene defects,Disease,ncbi
hypoxanthine phosphoribosyltransferase [ hprt ] deficiency,Disease,ncbi
x - linked neurologic disorder of myelin metabolism,Disease,ncbi
inborn errors of myelin metabolism,Disease,ncbi
neurologic disorders,Disease,ncbi
deficit of myelin,Disease,ncbi
pelizaeus - merzbacher,Disease,ncbi
dysmyelinating disorder,Disease,ncbi
pelizaeus - merzbacher disease ( type ii ),Disease,ncbi
von willebrand disease,Disease,ncbi
vwd,Disease,ncbi
inherited bleeding disorder,Disease,ncbi
type iia vwd,Disease,ncbi
meningococcal infections,Disease,ncbi
absence of the seventh component of complement,Disease,ncbi
isolated aniridia,Disease,ncbi
abetalipoproproteinemia,Disease,ncbi
hbl,Disease,ncbi
abetalipoproteinemia,Disease,ncbi
epstein - barr,Disease,ncbi
complex glycerol kinase deficiency,Disease,ncbi
cgkd,Disease,ncbi
congenital adrenal hypoplasia,Disease,ncbi
glycerol kinase deficiency,Disease,ncbi
gonadotropin deficiency,Disease,ncbi
gtd,Disease,ncbi
ahc,Disease,ncbi
autoimmune chronic active hepatitis,Disease,ncbi
cah,Disease,ncbi
c4 deficiency,Disease,ncbi
autosomal recessive human genetic disorder,Disease,ncbi
inborn error of amino - acid metabolism,Disease,ncbi
progressive tapeto - choroidal dystrophy,Disease,ncbi
phaeochromocytomas,Disease,ncbi
pancreatic malignancies,Disease,ncbi
bilateral and multifocal tumours,Disease,ncbi
inherited and sporadic forms of the cancer,Disease,ncbi
lowe oculocerebrorenal syndrome,Disease,ncbi
defective renal tubular function,Disease,ncbi
deficiency of hypoxanthine - guanine phosphoribosyltransferase,Disease,ncbi
g6pd seattle - like phenotype,Disease,ncbi
cnsha,Disease,ncbi
glucose 6 phosphate dehydrogenase ( g6pd ) deficiency,Disease,ncbi
familial amyloidotic polyneuropathy,Disease,ncbi
erythrocytic g6pd deficiency,Disease,ncbi
chronic hemolysis,Disease,ncbi
c3 deficiency,Disease,ncbi
glomerulonephritis,Disease,ncbi
deficiency of the third component of complement,Disease,ncbi
pneumonia,Disease,ncbi
mesangiopathic glomerulonephritis,Disease,ncbi
immune - complex disease,Disease,ncbi
pyogenic infections,Disease,ncbi
deficiency of aat,Disease,ncbi
emphysema,Disease,ncbi
liver disease,Disease,ncbi
becker and duchenne muscular dystrophy,Disease,ncbi
x - linked recessive genetic disorder,Disease,ncbi
neurological and behavioural disorder,Disease,ncbi
inherited deficiency,Disease,ncbi
hereditary c2 deficiency,Disease,ncbi
hypoimmunoglobulinemia,Disease,ncbi
hereditary deficiency of the third component of complement,Disease,ncbi
skin rash,Disease,ncbi
arthralgias,Disease,ncbi
decreased synthesis of c3,Disease,ncbi
inherited c3 deficiency,Disease,ncbi
arthralgia,Disease,ncbi
severe von willebrand disease,Disease,ncbi
genetic abnormality,Disease,ncbi
deficiency of fatty alcohol nad + oxidoreductase,Disease,ncbi
abnormality in fatty alcohol metabolism,Disease,ncbi
dystrophic,Disease,ncbi
glucose 6 - phosphate dehydrogenase deficiency,Disease,ncbi
hematologic malignancy,Disease,ncbi
hematological malignancies,Disease,ncbi
hematologic disease,Disease,ncbi
hematologic neoplasms,Disease,ncbi
pigmented ocular fundus lesions,Disease,ncbi
jaw lesions,Disease,ncbi
neoplasm,Disease,ncbi
hereditary adenomatous polyposis of the colon,Disease,ncbi
odontoma,Disease,ncbi
osteomatous jaw lesions,Disease,ncbi
colonic polyps,Disease,ncbi
x - linked glucose - 6 - phosphate dehydrogenase deficiency,Disease,ncbi
x - linked glucose - 6 - phosphate dehydrogenase ( g6pd ) deficiency,Disease,ncbi
x - linked g6pd deficiency,Disease,ncbi
hemolytic anemia,Disease,ncbi
hepatoma,Disease,ncbi
retinoblastomas,Disease,ncbi
mesenchymal tumors,Disease,ncbi
childhood tumor,Disease,ncbi
growth hormone ( gh ) deficiency,Disease,ncbi
dystrophic process,Disease,ncbi
hereditary non - spherocytic hemolytic anemia,Disease,ncbi
hereditary nonspherocytic hemolytic anemia,Disease,ncbi
hnsha,Disease,ncbi
x - linked immunodeficiency wiskott - aldrich syndrome,Disease,ncbi
hypopigmentation,Disease,ncbi
cutaneous and ocular pigmentation,Disease,ncbi
hypopigmented,Disease,ncbi
neurologic disease,Disease,ncbi
leukodystrophy,Disease,ncbi
myeloneuropathy,Disease,ncbi
x - linked duchenne muscular dystrophy,Disease,ncbi
emery dreifuss muscular dystrophy,Disease,ncbi
duchenne and the milder becker muscular dystrophies,Disease,ncbi
dystrophic syndrome,Disease,ncbi
myopathies,Disease,ncbi
heterozygous c2 deficiency,Disease,ncbi
angioedema,Disease,ncbi
myasthenia gravis,Disease,ncbi
systemic lupus erythematosus,Disease,ncbi
complement factor 2 ( c2 ) deficiency,Disease,ncbi
autoimmune disorders,Disease,ncbi
deficiency of the enzyme phenylalanine hydroxylase,Disease,ncbi
type i von willebrand disease,Disease,ncbi
type i vwd,Disease,ncbi
oral cleft,Disease,ncbi
clp,Disease,ncbi
fistulae,Disease,ncbi
hereditary c7 deficiency,Disease,ncbi
deficient in the seventh component of complement,Disease,ncbi
cm deficienty,Disease,ncbi
complement deficiencies ( c2 and c7 ),Disease,ncbi
defect in secretion of complement c5,Disease,ncbi
deficiency of the fifth ( c5 ) component of complement1 - 3,Disease,ncbi
absence of the sixth component of complement,Disease,ncbi
neisserial infections,Disease,ncbi
deficiency of the fifth component of complement,Disease,ncbi
gonococcal infection,Disease,ncbi
